Movie_name,Top_genres,Release_Date,tconst,capped_profit,Successful,role_1,role_2,role_3,role_4,role_1_birth_year,role_2_birth_year,role_3_birth_year,role_4_birth_year,role_1_roles_count,role_2_roles_count,role_3_roles_count,role_4_roles_count,role_1_sex,role_2_sex,role_3_sex,role_4_sex
Piya Ka Ghar,Other,1972,tt0158092,0.0,4.7,nm0223521,nm0080149,nm2147526,nm0013023,1947,1948,1941,1914,267.0,36.0,96.0,43.0,M,F,M,M
The Pilot,Action/Adventure,1980,tt0079719,0.0,4.5,nm0731772,nm0000832,nm0176586,nm0642675,1923,1938,1938,1926,96.0,71.0,125.0,35.0,M,F,M,M
The Day I Became a Woman,Drama,2000,tt0260332,473245.4955429732,4.7,nm0015242,nm0623879,nm0803006,nm0664802,\N,\N,\N,\N,1.0,1.0,1.0,1.0,F,M,F,F
Chori Chori,Other,2003,tt0326805,0.0,4.2,nm0222426,nm0007114,nm0611552,nm0442470,1969,1975,1978,1927,123.0,157.0,411.0,25.0,M,F,F,F
All About Eve,Drama,1950,tt0042192,11609286.614221303,8.6,nm0000012,nm0000879,nm0001695,nm0002141,1908,1923,1906,1917,99.0,79.0,106.0,93.0,F,F,M,F
Drango,Drama,1957,tt0050338,0.0,4.4,nm0001996,nm0238445,nm0518728,nm0187981,1918,1922,1926,1882,36.0,55.0,155.0,58.0,M,F,F,M
The Grudge 3,Drama,2009,tt1053859,11609286.614221303,4.3,nm1342743,nm0809938,nm2467178,nm2998248,1994,1969,1977,1984,41.0,238.0,1.0,6.0,M,F,M,F
The Woman in Black,Drama,2012,tt1596365,11609286.614221303,4.7,nm0705356,nm0005216,nm0001354,nm4610169,1989,1961,1953,\N,75.0,48.0,78.0,1.0,M,F,M,F
Hamburger Hill,Action/Adventure,1987,tt0093137,11609286.614221303,4.8,nm0057450,nm0090225,nm0000332,nm0230822,\N,1964,1964,1965,3.0,278.0,180.0,6.0,M,M,M,M
The Cider House Rules,Drama,1999,tt0124315,11609286.614221303,6.4,nm0001497,nm0000234,nm0000323,nm0005148,1975,1975,1933,1952,36.0,53.0,118.0,46.0,M,F,M,M
I'll Remember April,Drama,1999,tt0155754,0.0,4.5,nm0001552,nm0605080,nm0001118,nm0005286,1932,1986,1951,1988,84.0,26.0,168.0,90.0,M,M,F,M
King of Bollywood,Other,2004,tt0388181,0.0,4.3,nm0700875,nm0196971,nm0656644,nm2218463,1950,1977,1963,\N,162.0,3.0,428.0,194.0,M,F,M,M
The Man from Majorca,Drama,1984,tt0087677,0.0,4.6,nm0938623,nm0902059,nm0785290,nm0351576,1934,1943,1933,1933,87.0,108.0,40.0,20.0,M,M,M,M
Seachd: The Inaccessible Pinnacle,Other,2007,tt0834951,0.0,4.6,nm2338032,nm2352922,nm2352450,nm2355318,\N,\N,\N,\N,21.0,1.0,1.0,1.0,M,M,M,F
Torpedo Run,Action/Adventure,1958,tt0052303,0.0,4.5,nm0001229,nm0000308,nm0108270,nm0427894,1916,1917,1931,1931,123.0,319.0,42.0,99.0,M,M,F,M
Flourish,Drama,2006,tt0479914,-587167.5416477203,4.1,nm0607185,nm0817980,nm1015262,nm0736263,1979,1979,1986,1963,161.0,262.0,201.0,148.0,F,M,F,M
Innocent Lies,Drama,1995,tt0113249,0.0,4.1,nm0001160,nm0387524,nm0041458,nm0525921,1958,1984,1974,1946,76.0,9.0,13.0,234.0,M,F,F,F
The Royal Tenenbaums,Drama,2001,tt0265666,11609286.614221303,5.0,nm0000432,nm0000569,nm0001378,nm0001774,1930,1972,1951,1965,77.0,39.0,47.0,59.0,M,F,F,M
Knock on Wood,Action/Adventure,1954,tt0047152,11609286.614221303,4.8,nm0001414,nm0955195,nm0857147,nm0122634,1911,1925,1905,1901,23.0,57.0,50.0,18.0,M,F,M,M
Young Törless,Drama,1966,tt0060574,0.0,4.7,nm0140649,nm0782480,nm0864289,nm0226310,1950,\N,1947,\N,232.0,1.0,1.0,1.0,M,M,M,M
The Trap,Drama,2007,tt0478813,0.0,4.9,nm0322977,nm0632473,nm0229733,nm0543547,1969,1972,1963,1950,116.0,50.0,85.0,172.0,M,F,F,M
When Father Was Away on Business,Other,1985,tt0089748,0.0,4.8,nm0195617,nm0543547,nm0438905,nm0618768,1975,1950,1957,1943,1.0,172.0,105.0,294.0,M,M,F,M
The Farmer's Wife,Drama,1928,tt0018876,0.0,4.4,nm0858977,nm0356233,nm0363104,nm0572324,1888,1898,1885,1884,19.0,15.0,46.0,11.0,M,F,M,M
Northville Cemetery Massacre,Action/Adventure,1976,tt0074975,0.0,4.4,nm0405306,nm0171864,nm0413343,nm0803011,\N,\N,\N,\N,1.0,1.0,1.0,1.0,M,M,M,F
Penny Princess,Other,1952,tt0045020,0.0,4.4,nm0232574,nm0001958,nm0559920,nm0065888,1920,1921,1869,1908,9.0,64.0,15.0,15.0,F,M,M,M
Kings Go Forth,Drama,1958,tt0051819,0.0,4.6,nm0000069,nm0000348,nm0000081,nm0199070,1915,1925,1938,1923,47.0,111.0,47.0,35.0,M,M,F,F
La Diosa impura,Other,1963,tt0057001,0.0,4.4,nm0765337,nm0006842,nm0090109,nm0432466,1929,1933,1914,1917,27.0,277.0,33.0,79.0,F,M,M,M
Thanthonni,Action/Adventure,2010,tt1722459,0.0,4.2,nm1335387,nm2607210,nm1066795,nm0024302,1982,1989,1951,1962,101.0,10.0,59.0,1116.0,M,F,M,F
Johnny Eager,Drama,1941,tt0033774,0.0,4.7,nm0001791,nm0001805,nm0036427,nm0001336,1911,1921,1890,1908,159.0,56.0,99.0,58.0,M,F,M,M
Kulimlim,Horror,2004,tt0418810,0.0,4.5,nm1107053,nm1289493,nm0383762,nm0251681,1969,1981,\N,\N,929.0,602.0,191.0,193.0,M,F,M,M
Bound for Glory,Drama,1976,tt0074235,0.0,6.1,nm0001016,nm0001074,nm0227039,nm0834373,1936,1938,1939,1945,239.0,105.0,27.0,18.0,M,M,F,F
Ghost House,Horror,2004,tt0420660,0.0,4.5,nm0149226,nm1511876,nm0417526,nm1683396,1970,1971,1947,1980,94.0,4.0,6.0,1.0,M,F,M,F
Hamraaz,Drama,1967,tt0061744,0.0,4.7,nm0004570,nm0474855,nm0612614,nm1278450,1926,1926,1947,\N,53.0,41.0,71.0,2.0,M,M,F,M
Seoul Raiders,Drama,2005,tt0455116,0.0,4.3,nm0504897,nm0719104,nm0795517,nm3025100,1962,1966,1976,\N,66.0,31.0,62.0,1.0,M,M,F,M
The Sword in the Stone,Drama,1963,tt0057546,11609286.614221303,4.9,nm0814862,nm0001982,nm0842425,nm0560076,1946,1918,1908,1890,23.0,255.0,50.0,7.0,M,M,M,M
Microphone,Other,2010,tt1684913,0.0,4.7,nm1178100,nm1650071,nm3192881,nm3971193,\N,\N,\N,1986,33.0,8.0,59.0,12.0,M,F,M,M
Love and Pain and the Whole Damn Thing,Drama,1973,tt0068850,0.0,4.6,nm0001749,nm0000961,nm0602242,nm0715127,1934,1951,1925,1937,50.0,98.0,9.0,18.0,F,M,M,M
All That Jazz,Other,1979,tt0078754,11609286.614221303,7.3,nm0001702,nm0001448,nm0718237,nm0658336,1932,1949,1949,1945,106.0,53.0,3.0,2.0,M,F,F,F
Chaand Kaa Tukdaa,Action/Adventure,1994,tt0109391,0.0,4.0,nm0004437,nm0006795,nm0451600,nm0613417,1963,1965,1955,1950,348.0,258.0,175.0,176.0,F,M,M,M
Blood of Dracula's Castle,Horror,1969,tt0061412,0.0,3.9,nm0001017,nm0666358,nm0195422,nm0228718,1906,1924,1908,1935,159.0,35.0,9.0,14.0,M,F,M,M
Time Table,Drama,1956,tt0049857,0.0,4.6,nm0828594,nm0129478,nm0268012,nm0790993,1916,1897,1932,1922,77.0,23.0,22.0,16.0,M,M,F,F
Outpost,Horror,2008,tt0892899,0.0,4.4,nm0829032,nm0905554,nm0104114,nm0086324,1964,1958,\N,\N,72.0,34.0,33.0,17.0,M,M,M,M
Plan,Drama,2004,tt0364604,0.0,4.1,nm0004569,nm1231899,nm0603352,nm1213820,1959,1982,1975,1978,148.0,122.0,32.0,22.0,M,F,M,F
My Six Convicts,Drama,1952,tt0044940,9808278.091650974,4.7,nm0593612,nm0738042,nm0063619,nm0860471,1903,1905,1909,1925,11.0,81.0,57.0,91.0,M,M,M,M
Eastern Promises,Drama,2007,tt0765443,-39087158.62367766,4.1,nm0915208,nm0001557,nm0000090,nm1086981,1968,1958,1930,1983,85.0,43.0,102.0,26.0,F,M,M,M
Tower Heist,Action/Adventure,2011,tt0471042,11609286.614221303,4.7,nm0000552,nm0001774,nm0000729,nm0000257,1961,1965,1975,1936,84.0,59.0,33.0,317.0,M,M,M,M
The Curious Case of Benjamin Button,Drama,2008,tt0421715,11609286.614221303,7.6,nm0000093,nm0000949,nm0842770,nm0000566,1963,1969,1960,1965,75.0,104.0,82.0,76.0,M,F,F,F
"Lock, Stock and Two Smoking Barrels",Drama,1998,tt0120735,11609286.614221303,5.1,nm0002076,nm0002077,nm0602941,nm0005458,1966,1966,1969,1967,94.0,114.0,53.0,53.0,M,M,M,M
Ashaant,Other,1993,tt0290429,0.0,4.1,nm0474774,nm0889542,nm0080385,nm0474616,1967,1952,1972,1972,152.0,101.0,29.0,20.0,M,M,F,F
Jack London,Action/Adventure,1943,tt0036051,0.0,4.2,nm0642671,nm0001333,nm0535169,nm0003193,1906,1917,1914,1866,39.0,49.0,21.0,21.0,M,F,F,M
Avvai Shanmugi,Other,1996,tt0139872,0.0,4.9,nm0352032,nm0576169,nm0304261,nm0621937,1954,1976,1919,1958,121.0,1275.0,85.0,160.0,M,F,M,M
The Chocolate War,Drama,1988,tt0094869,607811.5583228808,4.6,nm0001278,nm0593819,nm0005120,nm0006535,1944,1969,1965,1960,107.0,10.0,188.0,14.0,M,M,M,M
The Grey Hounded Hare,Other,1949,tt0041434,0.0,4.7,nm0000305,,,,1908,,,,1938.0,,,,M,,,
Les Boys,Other,1997,tt0118764,11609286.614221303,4.8,nm0582126,nm0320721,nm0399088,nm0862400,1947,1950,1969,1948,64.0,164.0,48.0,27.0,M,M,M,M
Resident Evil: Damnation,Horror,2012,tt1753496,0.0,4.5,nm2233310,nm1043186,nm0283253,nm1368204,1982,\N,\N,1977,130.0,46.0,241.0,13.0,M,M,F,M
(Untitled),Other,2009,tt1132193,0.0,4.5,nm0004965,nm0005420,nm0047248,nm0700577,1970,1974,1976,1977,112.0,62.0,52.0,64.0,M,F,M,F
Come Drink with Me,Action/Adventure,1966,tt0059079,0.0,4.6,nm0155607,nm0398944,nm0157378,nm0509599,1946,1942,1919,1943,66.0,56.0,11.0,43.0,F,M,M,M
Escape by Night,Drama,1953,tt0045736,0.0,4.4,nm0171713,nm0712738,nm0416228,nm0713011,1924,1939,1913,1905,21.0,22.0,117.0,45.0,M,M,M,M
Sunshine,Drama,1999,tt0145503,0.0,4.8,nm0000146,nm0365281,nm0001838,nm0000383,1962,1927,1970,1969,64.0,40.0,54.0,51.0,M,F,F,F
Grand Hotel,Drama,1932,tt0022958,11609286.614221303,4.9,nm0001256,nm0000858,nm0001076,nm0000891,1905,1882,1906,1885,27.0,41.0,87.0,156.0,F,M,F,M
The Cathedral,Other,2002,tt0351167,0.0,4.7,nm1320002,nm1319290,nm1320730,nm1320441,\N,\N,\N,\N,1.0,1.0,1.0,1.0,F,F,M,M
The Red Shoes,Other,1948,tt0040725,11609286.614221303,6.3,nm0906932,nm0330961,nm0790452,nm0375818,1896,1912,1926,1909,42.0,162.0,5.0,16.0,M,M,F,M
Broadway Melody of 1938,Other,1937,tt0028665,0.0,4.6,nm0001791,nm0007224,nm0614278,nm0001931,1911,1912,1902,1903,159.0,10.0,43.0,46.0,M,F,M,F
Happy End,Drama,1999,tt0167976,0.0,4.1,nm0027683,nm0635938,nm0420561,nm0002907,1932,\N,1969,1976,79.0,3.0,10.0,59.0,F,M,M,M
May Madham,Other,1994,tt0121533,0.0,4.5,nm0417301,nm0006764,nm7390393,nm1677893,\N,1974,1937,\N,26.0,59.0,91.0,1.0,M,F,F,F
Veer,Action/Adventure,2010,tt1185412,-1357086.6514870448,4.1,nm0006795,nm0149822,nm0006763,nm0348481,1965,1950,1957,1959,258.0,198.0,161.0,247.0,M,M,M,F
Return to Sender,Drama,2004,tt0396190,-9776098.649960293,4.3,nm0001567,nm0001644,nm0000593,nm0004857,1965,1959,1962,1956,96.0,190.0,33.0,524.0,F,M,F,M
China,Other,1943,tt0035735,0.0,4.6,nm0949835,nm0000042,nm0000904,nm0014217,1913,1913,1906,1905,226.0,51.0,162.0,29.0,F,M,M,M
The Strangler,Horror,1964,tt0058622,0.0,4.6,nm0120658,nm0572522,nm0768443,nm0205704,1938,1922,1938,1943,56.0,26.0,2.0,10.0,M,M,F,F
"How to Be Very, Very Popular",Other,1955,tt0048183,11609286.614221303,4.5,nm0002107,nm0636065,nm0191950,nm0002013,1916,1932,1910,1877,38.0,41.0,179.0,71.0,F,F,M,M
Lights of Old Broadway,Other,1925,tt0016023,0.0,4.6,nm0203836,nm0619261,nm0193005,nm0037761,1897,1897,1857,1899,31.0,90.0,25.0,23.0,F,M,M,M
Brink of Disaster!,Other,1972,tt0291054,0.0,4.2,nm0625343,nm1028776,,,1928,\N,,,584.0,1.0,,,M,M,,
Goliath II,Other,1960,tt0053875,0.0,4.6,nm0001359,nm0020289,nm0002019,nm0271658,1905,1906,1949,1890,61.0,35.0,12.0,17.0,M,F,M,F
The White Balloon,Other,1995,tt0112445,0.0,4.8,nm0595869,nm0435760,nm0649746,nm0096941,\N,\N,\N,\N,3.0,1.0,42.0,2.0,F,M,F,F
Deportee,Other,1976,tt0237148,0.0,5.0,nm0002989,nm0668126,nm0319462,nm0454384,1955,\N,1915,\N,82.0,1.0,9.0,3.0,M,F,M,M
Batman Forever,Drama,1995,tt0112462,11609286.614221303,4.5,nm0000174,nm0000169,nm0000120,nm0000173,1959,1946,1962,1967,70.0,85.0,194.0,135.0,M,M,M,F
Black Aura on an Angel,Other,2004,tt0804235,0.0,4.7,nm1634727,nm0130599,nm2267426,nm2293250,\N,1950,\N,\N,10.0,5.0,1.0,1.0,F,F,F,F
Kill Speed,Drama,2010,tt1027683,0.0,4.0,nm0005080,nm0703778,nm0162233,nm0141853,1979,1977,1978,1980,22.0,73.0,119.0,6.0,M,M,F,M
The Life of Chikuzan,Other,1977,tt0075837,0.0,4.7,nm0370652,nm0652961,nm0047963,nm0437034,1943,1924,1946,1927,10.0,85.0,66.0,4.0,M,F,F,M
Designing Woman,Other,1957,tt0050306,11609286.614221303,5.2,nm0000060,nm0000002,nm0336576,nm0505249,1916,1924,1924,1905,60.0,55.0,6.0,24.0,M,F,F,M
Carry On Up the Jungle,Other,1970,tt0065525,0.0,4.4,nm0398110,nm0416228,nm0001889,nm0801330,1917,1913,1914,1930,43.0,117.0,39.0,93.0,M,M,M,F
Mighty Baby,Other,2002,tt0340047,0.0,4.2,nm0490513,nm0465503,nm0263851,nm0504942,1964,1970,1962,1976,95.0,95.0,45.0,32.0,M,M,F,F
American Pie 2,Other,2001,tt0252866,11609286.614221303,4.7,nm0004755,nm0005405,nm0002436,nm0004989,1978,1976,1973,1974,110.0,47.0,52.0,180.0,M,M,F,F
The Samaritan,Other,2012,tt1867093,-12373298.21819466,4.1,nm0000168,nm0456186,nm1550948,nm0929489,1948,1978,1982,1948,140.0,43.0,74.0,82.0,M,M,F,M
Angus,Other,1995,tt0112368,7490876.576072405,4.7,nm0847857,nm0001715,nm0000870,nm0031759,1978,1927,1948,1959,13.0,69.0,150.0,23.0,M,M,F,M
First on the Moon,Other,2005,tt0459929,0.0,4.6,nm2195610,nm2193770,nm2189892,nm2189921,\N,\N,1982,\N,1.0,1.0,3.0,1.0,M,F,M,M
Podium,Other,2004,tt0354836,0.0,4.5,nm0688143,nm0746162,nm0220017,nm0346994,1964,1967,1973,1972,96.0,59.0,84.0,25.0,M,M,F,F
Dui Prithibi,Other,2010,tt1737156,0.0,4.6,nm3359107,nm3359800,nm2371046,nm0593953,1978,1982,1979,1938,28.0,24.0,380.0,13.0,M,F,F,M
Pandemonium,Horror,1982,tt0084464,0.0,4.3,nm0810691,nm0001406,nm1383855,nm1385357,1937,1952,\N,\N,27.0,127.0,1.0,1.0,M,F,F,F
Wrath of the Titans,Other,2012,tt1646987,11609286.614221303,4.6,nm0941777,nm0000553,nm0683253,nm0000146,1976,1952,1979,1962,66.0,126.0,95.0,64.0,M,M,F,M
"Packing the Monkeys, Again!",Other,2004,tt0406115,0.0,4.5,nm1384769,nm1058983,nm1347748,nm0830655,1977,1978,1976,1946,39.0,158.0,26.0,107.0,F,M,F,M
The Role of Her Life,Other,2004,tt0348867,0.0,4.5,nm0418450,nm0895759,nm0951520,nm0223817,1964,1966,1970,1968,37.0,73.0,89.0,8.0,F,F,M,M
Deadline,Drama,2009,tt1242618,0.0,4.1,nm0005261,nm0000301,nm0087109,nm0089456,1977,1982,1976,1972,282.0,42.0,31.0,94.0,F,F,F,M
Tawny Pipit,Other,1944,tt0037352,0.0,4.6,nm0587061,nm0424228,nm0532277,nm0319159,1907,1913,1913,1915,26.0,13.0,31.0,13.0,M,F,M,F
Henry & June,Drama,1990,tt0099762,11609286.614221303,4.7,nm0911542,nm0000235,nm0210218,nm0001290,1942,1970,1965,1957,46.0,52.0,89.0,137.0,M,F,F,M
The Mark of the Whistler,Drama,1944,tt0037049,0.0,4.6,nm0228715,nm0141681,nm0356004,nm0002116,1893,1913,1888,1902,70.0,25.0,15.0,26.0,M,F,M,M
A Yank in Libya,Action/Adventure,1942,tt0035573,0.0,4.1,nm0455373,nm0940199,nm0912478,nm0661997,1899,1915,1876,1904,14.0,25.0,49.0,6.0,M,F,M,M
American Girl,Drama,2002,tt0329297,0.0,4.4,nm0540441,nm1548215,nm0902184,nm0000605,1984,\N,1982,1982,57.0,6.0,60.0,17.0,F,F,M,M
Beautiful People,Drama,1999,tt0159272,0.0,4.6,nm0329339,nm0699306,nm0676709,nm0420448,\N,1968,\N,1964,1.0,1.0,1.0,2.0,M,M,M,M
The Secret of Convict Lake,Action/Adventure,1951,tt0044015,11609286.614221303,4.8,nm0001229,nm0000074,nm0000856,nm0779923,1916,1920,1879,1914,123.0,33.0,23.0,51.0,M,F,F,M
Wristcutters: A Love Story,Other,2006,tt0477139,540353.8478872308,4.7,nm0297578,nm0924154,nm0001823,nm0004715,1982,1969,1949,1970,45.0,72.0,14.0,363.0,M,M,M,M
The NeverEnding Story,Drama,1984,tt0088323,-15590157.896781646,4.5,nm0000441,nm0646768,nm0000660,nm0574468,1971,1973,1972,1947,12.0,6.0,2.0,324.0,M,M,F,M
Cupid's Mistake,Other,2001,tt0213582,0.0,4.6,nm0317758,nm0678452,nm0158657,nm0946637,\N,\N,\N,1971,1.0,1.0,1.0,1.0,M,F,F,M
Wuthering Heights,Drama,1939,tt0032145,10632157.41319353,6.3,nm0643353,nm0000059,nm0000057,nm0733460,1911,1907,1910,1902,39.0,71.0,133.0,47.0,F,M,M,F
Crazy Cruise,Other,1942,tt0034620,0.0,4.4,nm0000305,nm2767970,,,1908,1914,,,1938.0,58.0,,,M,M,,
Espionage Agent,Action/Adventure,1939,tt0031280,0.0,4.4,nm0566948,nm0550782,nm0528705,nm0051628,1905,1915,1909,1882,74.0,17.0,39.0,30.0,M,F,M,M
Running Riot,Other,2006,tt1024776,0.0,4.6,nm0283412,nm0805114,nm0365416,nm0809770,1948,1948,\N,1955,20.0,7.0,1.0,10.0,M,M,F,M
The Final,Drama,2010,tt1390535,-1085669.3211896357,4.3,nm0232278,nm0913465,nm2570728,nm2984698,1989,1989,1987,\N,42.0,4.0,3.0,34.0,M,M,F,M
A Woman Called Sada Abe,Drama,1975,tt0073208,0.0,4.5,nm0594465,nm0261967,nm0312998,nm0457751,1949,1935,\N,\N,48.0,14.0,7.0,1.0,F,M,F,F
Akkare Akkare Akkare,Other,1990,tt0254942,0.0,4.8,nm0482320,nm0820208,nm0611481,nm0683477,1960,1956,\N,1955,267.0,82.0,364.0,20.0,M,M,M,M
Just like Heaven,Other,2005,tt0425123,11609286.614221303,4.8,nm0000702,nm0749263,nm0006610,nm0005457,1976,1967,1966,\N,106.0,60.0,282.0,27.0,F,M,M,F
"Good Morning, Vietnam",Other,1987,tt0093105,11609286.614221303,4.9,nm0000245,nm0001845,nm0870918,nm0837701,1951,1961,\N,1965,204.0,113.0,2.0,10.0,M,M,M,F
Phone,Drama,2002,tt0323630,11609286.614221303,4.7,nm0351710,nm1040505,nm1197170,nm1197624,1978,1980,\N,1978,87.0,4.0,1.0,2.0,F,F,M,F
Passionada,Other,2002,tt0285879,0.0,4.5,nm0005042,nm0590499,nm0002536,nm0000622,1963,\N,1986,1957,145.0,35.0,130.0,63.0,M,F,F,F
F.A.L.T.U,Drama,2011,tt1667076,0.0,4.2,nm0451174,nm1299011,nm1513319,nm1223967,1968,1978,1984,1987,54.0,48.0,14.0,3.0,M,M,M,F
Oh My Friend,Other,2011,tt2088847,0.0,4.6,nm1413459,nm1599046,nm1394426,nm1963406,1979,1986,1991,1986,48.0,43.0,120.0,33.0,M,F,F,M
The Ladykillers,Other,1955,tt0048281,0.0,4.8,nm0000027,nm0000634,nm0662116,nm0007042,1914,1925,1897,1917,58.0,94.0,43.0,95.0,M,M,M,M
The Final Cut,Drama,2004,tt0364343,0.0,4.5,nm0000245,nm0001029,nm0000227,nm0476906,1951,1968,1967,1952,204.0,143.0,89.0,58.0,M,M,F,F
That Darn Cat!,Other,1965,tt0059793,0.0,4.6,nm0001539,nm0427894,nm0699063,nm0001522,1946,1931,1935,1928,79.0,99.0,30.0,127.0,F,M,F,M
The Unfaithful Wife,Drama,1969,tt0064323,0.0,4.7,nm0000804,nm0099677,nm0740067,nm0239816,1932,1925,1927,1938,65.0,107.0,67.0,100.0,F,M,M,M
Flipped,Other,2010,tt0817177,-13293790.676070996,4.6,nm1630992,nm2786608,nm0000360,nm0000381,1996,1995,1959,1962,23.0,21.0,51.0,230.0,F,M,F,M
The Threat,Drama,1949,tt0041963,0.0,4.6,nm0642671,nm0340706,nm0569902,nm0084098,1906,1917,1914,1914,39.0,69.0,76.0,66.0,M,F,M,F
Brillante Porvenir,Other,1965,tt0057900,0.0,4.5,nm0167962,nm0894024,nm0351504,nm0530020,1927,1943,1930,1934,70.0,20.0,9.0,42.0,M,F,F,M
Pitfall,Drama,1962,tt0203612,0.0,4.8,nm0407030,nm0765823,nm0946216,nm0438047,1936,1928,1928,1927,31.0,5.0,3.0,13.0,M,F,M,M
Bleach: Memories of Nobody,Other,2006,tt1105263,1443160.347558183,4.7,nm1040968,nm1046347,nm1948682,nm1617276,1972,1974,1977,1974,279.0,930.0,127.0,297.0,M,F,M,M
Trailer Park of Terror,Horror,2008,tt0892109,0.0,4.3,nm0385346,nm0854702,nm0115297,nm0914223,1978,1967,\N,1971,52.0,52.0,15.0,11.0,F,M,F,M
Ninaithen Vandhai,Other,1998,tt6827430,0.0,4.9,nm0897201,nm1706602,nm0222266,nm6174391,1974,1960,1974,\N,61.0,32.0,2263.0,3.0,M,M,F,F
Sex Drive,Other,2008,tt1135985,-268360.9144405352,4.5,nm0958430,nm0241173,nm1468739,nm0005188,1985,\N,\N,1973,62.0,139.0,57.0,107.0,M,M,F,M
Masquerade,Drama,1988,tt0095599,0.0,4.5,nm0000507,nm0000672,nm0000326,nm0767443,1964,1960,1956,1964,271.0,41.0,202.0,109.0,M,F,F,M
Men in Black,Action/Adventure,1997,tt0119654,11609286.614221303,5.6,nm0000169,nm0000226,nm0000400,nm0000352,1946,1968,1958,1959,85.0,192.0,23.0,216.0,M,M,F,M
Jump,Drama,2009,tt1035733,0.0,4.3,nm0943079,nm2514879,nm0950604,nm0298676,1974,1986,\N,\N,78.0,28.0,4.0,1.0,M,F,M,M
Los que no deben nacer,Other,1953,tt0176945,0.0,4.1,nm0087003,nm0130719,nm0161843,nm0180556,1910,\N,1940,1913,402.0,4.0,6.0,463.0,F,M,M,F
The White Ribbon,Drama,2009,tt1149362,-16815631.320471525,4.5,nm3041056,nm0414272,nm2914059,nm0876300,1979,1933,1991,1957,13.0,32.0,46.0,99.0,M,M,F,M
Year One,Other,2009,tt1045778,-18386892.21801445,3.9,nm0085312,nm0148418,nm1312575,nm0001624,1969,1988,1984,1960,138.0,175.0,46.0,89.0,M,M,F,M
Perdido por perdido,Action/Adventure,1993,tt0107805,0.0,4.6,nm0201857,nm0684594,nm0660261,nm0775809,1957,1939,1969,1966,334.0,311.0,316.0,6.0,M,M,F,M
Fool Coverage,Other,1952,tt0044627,0.0,4.8,nm0000305,,,,1908,,,,1938.0,,,,M,,,
The Nun and the Devil,Drama,1973,tt0070404,0.0,4.3,nm0382391,nm0580664,nm0001560,nm0110496,1931,1943,1955,1944,25.0,64.0,91.0,49.0,F,M,F,F
Barfly,Drama,1987,tt0092618,-6250459.845984599,4.6,nm0000620,nm0001159,nm0000481,nm0620756,1952,1941,1954,1943,68.0,67.0,48.0,8.0,M,F,F,M
Bandh Darwaza,Horror,1990,tt0259877,0.0,4.3,nm1514890,nm0474643,nm0969505,nm0442398,\N,\N,1964,1946,2.0,8.0,18.0,26.0,M,F,F,M
Give Us Wings,Other,1940,tt0032533,0.0,4.2,nm0356890,nm0355653,nm0217316,nm0700603,1920,1920,1919,1923,20.0,76.0,44.0,5.0,M,M,M,M
Crush and Blush,Drama,2008,tt1173949,2772245.0828230046,4.5,nm1045839,nm3755026,nm2565312,nm0051907,1980,1972,1979,1965,62.0,12.0,10.0,9.0,F,M,F,F
Devil's Den,Drama,2006,tt0493409,-1761502.6249431607,4.1,nm0005026,nm0001701,nm0286010,nm0006575,1968,1978,1948,1967,104.0,50.0,83.0,7.0,F,M,M,M
Little Murders,Other,1971,tt0067350,8769810.660629759,4.8,nm0001285,nm0734454,nm0306696,nm0933361,1938,1940,1920,1921,131.0,25.0,44.0,38.0,M,F,M,F
Millie,Drama,1931,tt0022149,0.0,4.5,nm0878546,nm0850896,nm0024739,nm0355671,1908,1896,1889,1900,25.0,28.0,16.0,26.0,F,F,M,M
Chicken with Plums,Other,2011,tt1663321,-12629343.48916559,4.4,nm0023832,nm0046347,nm0210218,nm0267042,1965,1966,1965,1983,106.0,48.0,89.0,70.0,M,M,F,F
Look Who's Laughing,Other,1941,tt0033850,0.0,4.5,nm0001944,nm1706905,nm0430015,nm0430090,1903,\N,1896,1898,28.0,14.0,5.0,4.0,M,M,M,F
Pähkähullu Suomi,Other,1967,tt0062165,0.0,4.5,nm0664218,nm0758741,nm0758722,nm0427018,1930,1932,1940,1927,45.0,53.0,191.0,46.0,M,M,M,M
Jaws 2,Drama,1978,tt0077766,11609286.614221303,4.6,nm0001702,nm0308882,nm0358069,nm0556217,1932,1937,1923,1929,106.0,9.0,67.0,113.0,M,F,M,M
High Flyers,Other,1937,tt0028998,0.0,4.4,nm0923774,nm0941298,nm0892473,nm0520467,1895,1888,1908,1918,26.0,22.0,38.0,275.0,M,M,F,F
Mother of Mine,Drama,2005,tt0343221,-3796492.497149563,4.7,nm1698949,nm0537523,nm0526581,nm0638824,\N,1968,1963,1960,2.0,17.0,112.0,67.0,M,F,F,M
One of Our Aircraft is Missing,Drama,1942,tt0035153,6941766.301663266,4.8,nm0853607,nm0692439,nm0930776,nm0587061,1884,1901,1904,1907,19.0,32.0,40.0,26.0,M,M,M,M
Grand Central Murder,Other,1942,tt0034808,-3623512.7551020407,4.5,nm0001336,nm0199335,nm0662118,nm0340706,1908,1919,1914,1917,58.0,5.0,33.0,69.0,M,F,F,F
Bend of the River,Action/Adventure,1952,tt0044413,11609286.614221303,4.9,nm0000071,nm0001369,nm0447913,nm0011105,1908,1925,1914,1926,117.0,103.0,76.0,120.0,M,M,M,F
