Movie_name,Plot_summary,Top_genres,averageRating,neg,neu,pos,compound
Sailing for Madagascar,"In the winter of 1941, the attack on Pearl Harbor throws the United States into a turmoil of paranoia and racism. In the midst of it all, young Bette Warren  is uprooted to Los Angeles with her father, an injured war hero, and her older brother, a young upstart lost in the shadows of his father's military past. Bette quickly finds solace in Scott, the orphaned grandson of her Japanese neighbor. With all the innocence of youth the pair share a common dream of a world untouched by war and hatred. What they could not dream of is the awful reality that awaits them upon discovery of their friendship, and the inevitable pain of innocence lost.
",Other,7.1,0.253,0.617,0.13,-0.964
Machine Head,"Max Kelp, reviled high-school nerd, is obsessed with a theory involving internal combustion power and a computer. Max creates a zombie, using a corpse and a lawnmower engine, for his school science fair.
",Fiction,,0.19,0.7,0.11,-0.4939
Old Yeller,"In 1860s post-Civil War Texas, Jim Coates  leaves home to work on a cattle drive, leaving behind his wife Katie , older son Travis  and younger son Arliss . The family is so poor the children have never seen a dollar bill, other than worthless Confederate dollars. While Jim is away, Travis sets off to work in the cornfield, where he encounters ""Old Yeller"", a Black Mouth Cur. Travis unsuccessfully tries to drive Old Yeller away, but Arliss likes the dog and defends him. However, Old Yeller's habit of stealing meat from smokehouses and robbing hens' nests does not endear him to Travis. Later, Arliss tries to capture a bear cub by feeding it cornbread and grabbing it. The angry mother bear hears her cub wailing and attacks, but Old Yeller appears and drives off the bear, earning the affection of the family. Travis eventually accepts the dog and a profound bond grows between the two. Old Yeller's owner, Burn Sanderson , shows up looking for his dog, but comes to realize that the family needs the dog more than he does, and agrees to trade the dog to Arliss in exchange for a horny toad and a home-cooked meal. One day, Travis sets out to trap wild boars. On the advice of Bud Searcy , he sits in a tree, trying to rope them from above as Yeller keeps them from escaping. Travis falls into the pack of boars below, one of which injures him. Yeller attacks the boar and rescues Travis, who escapes with a badly-hurt leg. Yeller is seriously wounded as well. Searcy warns the Coates family of hydrophobia  in the area. Fortunately, the boars did not have hydrophobia, and both boy and dog fully recover. However, the family soon realize that their cow, Old Rose, has not been allowing her calf to feed, and may have rabies. Watching her stumble about, Travis confirms it and shoots her. While Katie and Lizbeth  burn the body that night, a rabid wolf attacks. Yeller defends the family, but is bitten in the struggle before Travis can shoot and kill the wolf. The family pens Yeller in a corn crib for several weeks to watch him. Soon when Travis goes to feed Old Yeller, Yeller growls and snarls at Travis. After Yeller nearly attacks Arliss, who, not understanding the danger, had attempted to open the cage, a grieving Travis is forced to shoot Yeller. In doing so, he takes his first step towards adulthood. Heartbroken from the death of his beloved dog, Travis refuses the offer of a new puppy sired by Yeller. Jim comes home with a bagful of money and presents for the family. Having learned about Yeller's fate from Katie, he explains to his son the facts about life and death. When they get back to the farm, the young puppy steals a piece of meat, a trick he learned from his father. Travis adopts the puppy, naming him ""Young Yeller"" in honor of his sire.
",Drama,7.2,0.148,0.79,0.062,-0.9949
Little Black Book,"Stacy Holt , an associate producer on a daytime talk show , is convinced that her boyfriend Derek  is the right man for her, though he has an apparent phobia of commitment, and he's vague about his past relationships. Taking the advice of colleague Barb , she looks at his Palm Tungsten C and its record of the names and numbers of three ex-girlfriends, a French supermodel , a gynecologist  and a cook . She sets up an interview with each woman, in an attempt to learn more about and get closer to Derek. However, Stacy's plan suffers a setback when she develops a friendship with one of the women. Stacy is eventually betrayed by Barb, when she, Derek and the ex-girlfriends are brought together on stage for a live broadcast during sweeps season. During the show, Stacy comes to the realization that she is not the right one for Derek and lets him go. On the way out, Barb, clearly out of her mind, tells Stacy that her actions were not premeditated and goes on to call the ""event"" a masterpiece. With a live camera behind her, Stacy responds with, ""I should tear your eyes out right now. But how will you be able to look at yourself in the morning?"", which the audience cheers on. Stacy, then, departs from the studio, as the camera stays a humiliated Barb. In the end, Stacy winds up earning her dream job working for Diane Sawyer{{cite news}} and meets her idol, Carly Simon.
",Drama,5.3,0.04,0.897,0.063,0.7184
Weary River,"Jerry Larrabee  is framed by rival gangster Spadoni  and sent to prison, where he is befriended by a kind and understanding warden . Through the warden's patient influence, Jerry becomes interested in music and forms a prison band, broadcasting over the radio. Jerry's singing deeply moves his radio listeners and soon Jerry is given a pardon by the governor. Jerry pursues a singing career in vaudeville, billing himself as the Master of Melody, but constant whispers of ""Convict!"" from the audience disturb his concentration. Moving from job to job, Jerry is haunted by his past. With no hope of succeeding in music, Jerry returns to his old gang and takes up with his former sweetheart, Alice Gray . As he prepares for a final confrontation with Spadoni, Alice gets in touch with the warden, who arrives on the scene in time to keep Jerry on the straight and narrow path. Jerry eventually becomes a radio star and marries Alice.
",Drama,,0.098,0.8,0.101,0.1363
Salvador,"Veteran photojournalist Richard Boyle has been taking his camera to the world's trouble spots for over 20 years; while he does good work, Boyle's fondness for booze and drugs, and his colossal arrogance, have given him a reputation that's left him practically unemployable. Broke and with no immediate prospects, Boyle and his buddy Doctor Rock, an out-of-work disc jockey, head to El Salvador, where Boyle is convinced that he can scare up some lucrative freelance work amidst the nation's political turmoil. However, when Boyle and Rock witness the execution of a student by government troops just as they enter the country, it becomes clear that this war is more serious than they were expecting. Increasingly convinced that El Salvador is a disaster starting to happen, Boyle eventually decides that it's time to get out; but he has fallen in love with a woman named Maria, and he doesn't want to leave her behind.
",Drama,7.4,0.136,0.76,0.105,-0.3403
Babylon A.D.,"Toorop , an American mercenary, narrates that the world is not really worth saving, as we try to save it from ourselves. He says that every man is one day presented by a choice; A choice to make a difference, or to walk away and save himself. He explains that on that day, he learned something, to make a difference. He finishes: ""Too bad it was the day I died,"" as the camera shows him in New York City, slowly dying from a gunshot wound, as a caricature and an explosion is seen in his eye, as the scene blacks out. Six days earlier, in the year 2019, Toorop is shown living in New Serbia. Branded a terrorist, he is forbidden from returning to the United States, as he lived his life transporting immigrants around Eastern Europe to Western, and he makes a living working odd jobs, living his life in a small flat in dystopian city of Belgrade. One day, he is offered a courier contract by a Russian mobster, Gorsky . Toorop accepts in return for a chance to return to the United States, as he will be given an unfakeable U.N. passport  and $500,000 in cash. Gorsky instructs him to take a young woman, an orphan known only as Aurora , to New York City. He is provided with weapons, maps, and money to secure passage. Toorop travels by a reinforced armored car on an industrial lifting electromagnet hoisted by an Mil Mi-24 gunship. The helicopter drops the car off near a thousand-year old convent in Kyrgyzstan, now occupied by a new religion sect known as the Noelites. There he picks up a Noelite nun named Sister Rebeka  and her charge, Aurora. They travel by car to Troitsk in the border between Kazakhstan and Russia. In Troitsk, Toorop purchases tickets for a train to Vladivostok. When trying to board the train, Aurora inexplicably panics and flees from the crowd waiting to board the train. Toorop and Rebeka try to take her back despite her continued pleas not to. Seconds later, a bomb explodes in the crowd, sparing them because Aurora had bolted. Shaken, they board the train and Toorop demands an explanation for Aurora's apparent prescience. Rebeka shrugs it off as coincidence and explains that Aurora was probably just scared as it was her first time out of the convent. The train continues on to Vladivostok, passing a nuclear blast crater on the way. They arrive in a refugee camp in Vladivostok. Toorop contacts a Russian smuggler and old friend named Finn  in a nightclub and secures passage by submarine through the Bering Strait to Canada. An unknown group suddenly intercepts them and tries to offer Toorop a million dollars to relinquish Aurora to their custody. When this fails, they try to abduct her. After a fight the leader of the group tells Aurora that they knew her father. With this revelation, Aurora agrees to go with them, but Toorop stops her at the last second. In the morning, they go with the refugees across the frozen sea to board the submarine. However, to avoid satellite detection, the submarine can only surface for 2 minutes, leaving some refugees behind and even resorting to shooting them. Aurora, infuriated by the loss of life, starts to operate the 30-year-old submarine, without having ever learned about it. She states that she can 'feel them dying' and threatens the submarine crew with a gun but is eventually subdued by Toorop and the submarine continues to submerge. Rebeka and Toorop are both mystified by Aurora's outburst and her apparent knowledge of the submarine controls. Sister Rebeka explains to Toorop that Aurora could speak nineteen different languages by the age of two, and always seems to know things she has never learned. Three months before leaving with Toorop, she had begun acting in ways she never had before. Her change in behaviour began after a visit by a Noelite doctor who had administered a pill to Aurora. The doctor told her to go to New York City and arranged for Toorop to take them. Finn tells Toorop that he suspects Aurora was carrying a viral bomb, which he saw exploding in Uzbekistan 2 years prior. Toorop tells him that if she is carrying some kind of a virus, he will kill her instantly. She overhears this. On landing in Canada, they cross the border to the United States with snowbikes. Along the way they are spotted and attacked by two aerial drones patrolling the borderlines, wounding Toorop. Aurora again displays extraordinary medical knowledge as she pulls out a piece of metal from Toorop's wounds. Finn attempts to kill Toorop and Rebeka and take the passport and Aurora, but Toorop shoots him first. They cross the border safely and leave for New York by plane. In New York, in Toorop's old apartment, they learn from a news broadcast that the Noelite convent they were from had been hit by a missile the moment they crossed the Canadian border. This causes the group to realize that there is more going on than they know. The Noelites have become a major new salvationist religion, which vast numbers of people cling to as the world spirals out of control. However, in private meetings, it is seen that their High Priestess is really just after power, and tries to use various invented miracles to get more people to believe in the truth of her religion. Gorsky, working for the Noelites, had planted a tracking device in Toorop's passport, and then bombed the convent when he knew they were in the United States. The doctor who earlier saw Aurora in the convent then appears to examine her again. When he leaves, Aurora reveals to both Rebeka and Toorop that she is pregnant with twins, even though she is a virgin. Looking outside, Toorop sees Gorsky's men as well as the Noelite group, heavily armed and waiting for them. The High Priestess then calls Toorop and asks him to bring Aurora outside. As they were letting Aurora into the limousine, Rebeka warns Toorop with a glance. One of the guards had a gun pointed at them, ready to kill them once Aurora was handed over. Toorop changes his mind and starts a firefight with the two groups with the ultimate goal of getting the two women to safety. However, because of the tracking devices, Gorsky's men can lock onto Toorop with tracking rockets. Rebeka is shot and killed defending Aurora, who in turn shoots Toorop saying the words, ""I need you to live."" By dying, the rocket goes off target and explodes near Aurora instead. Aurora survives the rocket explosion apparently with seemingly supernatural powers, as the scene from the beginning is shown. Toorop's body is revived by Dr. Arthur Darquandier , using advanced medical techniques, but Toorop's right arm and left leg are replaced with cybernetics to undo the damage of being dead for over two hours. Darquandier explains that when Aurora was a fetus, he enhanced her by using a supercomputer to 'implant' intelligence into her brain. The Noelite group had him create Aurora to become pregnant at a certain time in order to use her as a vessel for twin babies with almost supernatural intelligence. The apparent ""virgin birth"" and the powers of her children were supposed to provide a manufactured ""miracle"" to boost membership of the Noelites. After she was born, the Noelites hired Gorsky to kill Darquandier, but Darquandier survived. He remained ""dead"" until he found his daughter in Russia with Toorop. Doctor Darquandier uses a machine to go through Toorop's memory to find what Aurora said to him before Toorop ""died"". In Toorop's memory, Aurora tells Toorop to ""go home."" Toorop, as well as several of Darquandier's men, leave the facility. En route to Darquandier's lab, the High Priestess calls Gorsky, at which point he is killed a missile sent by the High Priestess. Darquandier is later killed by the High Priestess, but Toorop has already escaped. Toorop goes to his old family house in the forest and finds Aurora, and as he takes her with him, they are found and chased by the Noelite henchmen, with the High Priestess personally shooting at them. He destroys the pursuers and he and Aurora escape. With Darquandier and High Priestess dead, Toorop stays with Aurora, rebuilding his old cottage. Six months later, Aurora gives birth to the children, but she says to Toorop that she was ""designed to breed"", not to live, indicating that she will die. Toorop stays with the children as their caretaker.
",Drama,5.5,0.094,0.861,0.045,-0.998
Spirit of the Wind,"The movie is a semi-autobiographical story based upon the life of George Attla, Jr. . Attla, known as ""the Huslia Hustler,"" took his nickname from one of his mentors, Jimmy Huntington, who first began winning races during Attla's childhood. In recent generations, this nickname has become associated with Attla far more than with Huntington. Attla was a leading star of the 1960s and 1970s in the sport of sprint dog sled racing. He won the Fur Rendezvous World Championship race, held in Anchorage, Alaska, 10 times between 1958 and 1982. He also won 8 championships in the Open North American Championship race, held in Fairbanks, Alaska. In addition, despite his mushing experience being geared more towards sprint than distance racing, Attla competed in the inaugural Iditarod Trail Sled Dog Race in 1973, placing fifth. In a 2011 interview, Attla spoke of the popularity of the Iditarod, and how sprint racing ""is now a second-class sport"" as a result. The general theme of the story centered around Attla's rivalry with the other leading sprint competitors of the day, fellow Alaska Native Gareth Wright (the brother of political gadfly [[Don Wright  and Massachusetts musher Roland ""Doc"" Lombard, the preparations for an upcoming big race, and his first major race victory. Most of the movie was set and filmed in Fairbanks. A number of local actors, including local Alaska Natives, University of Alaska Fairbanks professor Lee Salisbury, and KFAR disc jockey/newscaster Bill Walley, appear in minor roles.
",Family,7.1,0.0,0.907,0.093,0.9726
Quest of the Delta Knights,"The plot revolves around a young boy named Travis  who learns from his master that he is the key to saving the world from an evil plot. Tee joins the secret organization of the Delta Knights and embarks on a quest to attempt to recover the lost treasures inside the fabled Lost Storehouse of Archimedes. The plot is markedly similar to that of Robert Heinlein's Citizen of the Galaxy, including its essentially identical setup of a young slave boy—who is really the lost heir of a powerful family—being bought for a pittance by a seeming beggar, who is himself really a spy, and who suspects the boy's true identity. The cinematic accomplishments of the movie are decidedly meager, such as the completely unexplained casting of David Warner as both the hero's mentor and the chief villain, in addition to providing the narration. The dialogue is decidedly campy  and the movie has a definite low-budget atmosphere. Also noteworthy is the extreme confusion the film displays with regard to setting, both in terms of time period and location. The story would seem to take place in medieval England; however, a number of plot elements contradict this. Vultare's henchmen wear headgear strongly resembling  Viking helmets. Leonardo da Vinci, a figure from Renaissance Italy, appears as a major character in the plot. Finally, Leonardo and Tee are searching for the lost storehouse of Archimedes, a figure from ancient Syracuse, Sicily whose storehouse one might reasonably think unlikely to be found in England. A document held by Archimedes seen in a flashback is also clearly held together by staples. A large portion of this movie was filmed at the Renaissance Pleasure Faire in Black Point, Novato, California. Performers from the Faire were employed as extras in various scenes throughout. Exterior scenes of Archimedes' storehouse were filmed at the Palace of Fine Arts, San Francisco, California. Exterior scenes of the prison were filmed at Petaluma Adobe State Park, Petaluma, California. Some interior scenes of the Mannerjay's palace were filmed at the Scottish Rite Temple, Oakland, California. The opening theme is a re-use of the theme from the 1980 science fiction film Battle Beyond the Stars.
",Action_Adventure,,0.078,0.866,0.056,-0.8581
Gents Without Cents,"The Stooges are small time song-and-dance performers who are having trouble rehearsing due to loud tapping that is going on one story above them. When they go to give the rowdies a piece of their mind, three lovely ladies named Flo , Mary  and Shirley  come to the door. It turns out the girls are performing their tap dance routine. The six become friends and go to a talent agent, Manny Weeks ([[John Tyrrell , to show of their stuff. However, he is at first unimpressed with the Stooges' act, but hires them anyway to perform at the Noazark Shipbuilding Company to entertain defense workers.  The Stooges, as ""Two Souls and a Heel"", slay the audience with their hilarious ""Niagara Falls"" routine . When the boys receive word that the headliners  have to bail, they and the girls offer to take their place. Weeks is so enthralled with the boys' performance that he offers to send the trio to Broadway. The Stooges nearly leave their ladies, but end up getting married first with a honeymoon planned for—where else?—Niagara Falls.
",Other,7.5,0.026,0.897,0.077,0.8674
Save the children fund film,"The film is about the work of Save the Children, a British-based charity working for children around the world. This film looks at examples of the charity's work in England and Africa - the Starehe Boys Centre and School in Kenya. The account is critical of what it sees as attempts to keep conditions that lead to poverty in place. It places emphasis on methods used by ex-colonial powers continue to keep Africa in a position of debt and dependence.{{citation needed}}
",Other,,0.09,0.844,0.067,-0.2732
Shallow Grave,"David , a chartered accountant, Juliet , a doctor, and Alex , a journalist, are three friends who share a flat in Edinburgh. They need a new flatmate and, after a sequence of interviews, in which unwanted applicants are rejected with calculated cruelty, they take in the mysterious Hugo ([[Keith Allen . When Hugo suddenly dies of a drug overdose, they discover that he has a very large amount of cash in a suitcase. The three decide to keep the money and to dispose of Hugo's corpse in the titular shallow grave.
",Drama,7.3,0.146,0.804,0.05,-0.8779
Little Women,"Set in Concord, Massachusetts during and after the American Civil War, the film is a series of vignettes focusing on the struggles and adventures of the four March sisters and their mother, affectionately known as Marmee , as they await the return of their father, who is fighting with the Union Army. Spirited tomboy Jo , who caters to the whims of their well-to-do Aunt March , dreams of becoming a famous author and writes plays for her sisters to perform for the local children. Amy  is pretty but selfish, Meg  works as a seamstress, and sensitive Beth  practices on her clavichord, an aging instrument sorely in need of tuning. The girls meet Laurie , who has come to live with his grandfather Mr. Laurence , the Marches' wealthy next-door neighbor. The Laurences invite them to a lavish party, where Meg meets Laurie's tutor, John Brooke . During the course of the next several months, Meg is courted by John, Jo has her first short story published, and Beth frequently takes advantage of Mr. Laurence's offer and practices on his piano. Marmee learns her husband has been wounded and is recuperating in a Washington, DC hospital, so she leaves home to care for him. During her absence, Beth contracts scarlet fever from a neighbor's baby. She recovers but is left in a weakened state. Her parents return, and Meg marries John. Laurie confesses his love to Jo, who rejects him. When he snubs her in return, Jo moves to a New York City boarding house to pursue her writing career. There she meets Professor Bhaer , an impoverished German linguist. With his help and encouragement, Jo improves her writing and resolves her confused feelings about Laurie. A debilitated Beth nears death, and Jo returns to Concord. After her sister dies, Jo learns that Amy, who accompanied Aunt March to Europe, has fallen in love with Laurie. Jo then accepts the proposal of marriage offered by the professor, and Amy and Laurie eventually wed as well.
",Drama,7.2,0.084,0.774,0.142,0.9581
The Touch of Satan,"The movie begins with the murder of a farmer by an elderly insane woman with terribly burned facial features. After stabbing the farmer and accidentally setting his barn on fire, the woman stumbles home to her family. The family, an older couple and a young teenage woman, argue about the best way to handle the situation and make vague references that the elderly woman may have killed people in the past. The scene then switches to the main character, a young man named Jodie who is on an open-ended car trip across America to find himself and discover whether or not he wishes to follow in his father's footsteps as a lawyer. Jodie stops at a small pond to have lunch and meets Melissa, the teenage girl from the previous scene. They banter briefly and she convinces him to come visit her family on their walnut farm, despite the intense distress this offer causes her parents. The young couple grows increasingly close, despite the frightening presence of the elderly woman and various clues dropped along the way that Melissa is, in fact, a 127-year-old witch and the birth sister of the elderly insane woman. When the old woman murders a deputy policeman in front of Jodie, Melissa confesses that she is a cursed witch and is possessed by Satan. Jodie refuses to believe this, so Melissa reveals in a dream-sequence that her sister was burned as a witch by an angry mob of villagers in the 19th century. Melissa was so distressed by the sight of her sister being burned at the stake that she offered her soul to Satan in order to gain the power to save her. Satan agreed and allowed Melissa to save her sister. Melissa was given eternal life and youth as a result of this bargain, but the gift was a curse as she watched her now-insane sister grow old and homicidal. The old woman tries to kill Jodie, but Melissa uses her powers to stop her and her sister dies in a fire that she started. Jodie eventually believes Melissa and has sex with her, effectively ""freeing"" her from Satan. Unexpectedly, however, she instantly ages to her ""actual"" age and Jodie must sell his soul to Satan in order to restore Melissa's youth and save her life. The movie ends with the realization that each are bound to Satan and that Melissa's attempt to save herself has only managed to draw Jodie into the evil contract as well.
",Drama,2.3,0.121,0.793,0.086,-0.9237
Kissing Cousins,"Amir is a professional heartbreaker . At Amir's 30th birthday party, his childhood friend Charlie announces that he is getting married, but he and his fiance decide they don't want Amir to be the best man because of his bad ""relationship karma"". This depresses him, as do the relationship advice books he receives as gifts. Amir goes to visit his family for Thanksgiving and meets Zara, his attractive British cousin, who he hasn't seen in twenty years. Amir's mother persuades him to take Zara back to his home in Southern California, since she is in the United States traveling. Zara decides to help Amir's relationship karma by claiming she is his girlfriend. While she is visiting, Zara also helps Amir be more compassionate when terminating people's relationships. After a Christmas party where they drink too much and are forced to kiss under the mistletoe, they go back to Amir's apartment and have drunken sex, which they regret, but Amir thinks that he has fallen in love with Zara. Zara doesn't feel the same. When they go back to Amir's family home for Christmas, it is revealed that Zara ran away from her British boyfriend after he proposed at the Grand Canyon, and her boyfriend is staying with Amir's family while he looks for her. After Christmas, Amir returns to Los Angeles alone. At Charlie's wedding on New Year's Eve, Amir & Zara  reveal to Amir's friends that they are cousins. At the reception after the wedding, Amir and Bridget, the single woman in their group of friends, realize they could be more than friends and decide to start dating.
",Family,5.5,0.081,0.742,0.178,0.9883
Shadow Run,"Haskell  is a hardened gangster assigned to a job by his boss, Landon-Higgins , to steal sheets of watermarked paper to print fake money.
",Drama,4.3,0.223,0.777,0.0,-0.743
Wrong Turn 3: Left for Dead,"Alex Hale  and her friends Trey , Sophie  and Brent  go into the woods on a rafting trip. As they are camping, her friends are killed by Three-Finger as Alex watches. Sheriff Carver and Deputy Lane receive a report about the missing group. Two days later, prison guard Nate Wilson  is assigned with Walter  and Preslow  to transfer a group of prisoners to a distant prison. The prisoners are Crawford , a car thief; Floyd , a neo-Nazi; Brandon , who was wrongly convicted of murder; Chavez , the leader of a crime organization; and Willy , an undercover agent who is posing as a prisoner in order to get information from Chavez. While driving, their bus is rammed by Three-Finger's truck and crashes to the woods, forcing them to continue on foot. Walter is badly injured, but Nate manages to rescue him from the truck before it explodes. Chavez, who had been planning an escape attempt and believes that his men have come to free him, takes control of the group. Preslow almost manages to overpower Chavez, but is killed by a knife to the neck. Chavez and the other prisoners believe Preslow was killed by one of Chavez's men, but in reality, the knife was thrown by one of the mutants. When an arrow comes flying out of the woods, the prisoners realize that something is wrong and that they must escape. Chavez decides to keep Nate alive so that he can use Nate as a guide. Nate used to live in the area, and he says he can lead them to a watch tower where they can call for help using the communications equipment inside. Soon, Alex appears and mistakenly attacks Nate. She informs the others of the existence of the mutants and tells them what happened to her friends. When Chavez learns that Alex and her friends were rafting, he demands that she lead them to the rafts so that he can use the raft to escape. They begin to follow Alex, and on the way, they find an abandoned armored truck filled with cash. Chavez tells Nate to check the cab of the truck. Nate finds a set of keys and a gun. He secretly gives the gun to Walter, and hands the keys over to Chavez. Chavez uses to the keys open the back of the truck, finding several bags of money. Chavez is intent on stealing the money and demands that everyone carry two bags. Chavez commands Walter to pick up two of the bags of money, but Walter refuses because of his injury. In a last-ditch effort to regain control of the situation, Walter pulls out the gun and tries to shoot Chavez. Unfortunately, the gun is not loaded and Chavez shoots and kills Walter. Chavez forces those left alive to carry the money and they continue on foot. Along the trail, they stumble upon a trap. The prisoners escape the booby trap set by Three-Toe, Three Finger's Son. They then catch the son and behead him, leaving a trophy on the spent booby trap for Three-Finger to find as a deterrent. They soon realize it only enrages Three-Finger. Three-Finger sets traps for the group, killing first Willy and then Crawford. Meanwhile, Sheriff Carver decides to go looking for Nate, as he has a bad feeling, and Deputy Lane sets out to check on the missing group of rafters. Sheriff Carver manages to find the group, but is soon killed by Three-Finger. Soon after, Chavez and Floyd get into a fist fight while Brandon watches on, allowing an opportunity for Nate and Alex to escape. After the fight, Chavez and Brandon leave the beaten knocked out Floyd behind. When they hear Alex and Nate talking, they lay the money down and go to find them, taking them hostage again. They are able to find the location where the watch tower once stood, only to discover it was burned down years ago. Meanwhile, Floyd finds the money and attempts to run away with it, but he stumbles on some rocks and cries out. Chavez hears the noise and finds Floyd, only to see Three-Finger lobbing a molotov cocktail at Floyd, killing him and burning all the money. Chavez then decides to give Alex to Three-Finger to improve his chances of survival. Three-Finger drags Alex into his truck and drives off. He secures Alex at his house and goes back out to hunt the rest of the survivors. Chavez finds Three-Finger and fights him, but Three-Finger overpowers and kills him. Meanwhile, Alex has been tied up in Three Finger's house, awakes and see Deputy Lane tied with barbed wire, who dies shortly after. Nate finds Three-Finger's house and frees Alex, but Three-Finger attacks him. Alex save him by stabbing Three-Finger with a large stake. Nate and Alex take his tow truck and drive away, but Three-Finger follows them and leaps on top of the truck, causing them to crash the truck into a tree. As the truck catches on fire, Brandon appears and pulls Alex out of the truck. When Brandon is helping Nate, Three-Finger attacks them but Nate manage to stab him in the head with a meathook. After Nate releases Brandon to go free, the U.S. Marshall team arrives and rescues Nate and Alex. Sometime later, Nate greedily returns to collect the remaining cash from the armored truck. Brandon appears and betrays Nate, shooting him in the back with an arrow. While Brandon is collecting the cash, a cannibal appears from behind him holding a crude and kills him.
",Drama,,0.178,0.754,0.068,-0.9991
Arie,"Izrael  Arie, a Lithuanian Jew and a world-renowned Moscow heart surgeon, learns that he has only six months to live because of pancreatic cancer. He retires immediately and sets out to find his first love, Sonia Schworz, with whom he shared an attic on a Lithuanian farm while hiding from the Nazis for a large part of World War Two. Their re-union takes place in Israel, where Sonia settled after the war. Although the couple has not seen each other for sixty years, it turns out that in the meantime they have been following similar life paths, not unlike twins separated at birth. Both have achieved enviable prosperity and enjoy the company of much younger bedfellows. To get these youngsters out of the way, Sonia unceremoniously dumps her lover Chaim, while Izia's pregnant wife Olga is quickly persuaded to marry Sonia's grandson Yossi. Yossi bears an uncanny resemblance to the Lithuanian farmer Juozas, who hid Sonia and Izia as children in 1941, and won over Sonia's heart in 1944 in an unequal competition with the inexperienced Izia. Although Juozas is killed by Lithuanian Nazi sympathizers, Izia does not forgive Sonia for what he sees as betrayal, and refuses to follow her to Palestine when Lithuania is liberated. The irony of it all, commonly known as ""Jewish happiness"", lies in the patterns that keep repeating themselves sixty years after: Izia loses his woman  to a Juozas look-alike again and fails to keep Sonia too . Apparently, Sonia's and Izia's union was never meant to last, either at the beginning or at the end of their lives. On his deathbed, pondering on the lost opportunities, Izia reiterates God's commandment to multiply and replenish the earth in the form of an impassionate plea to Olga and Yossi to waste no time in going forth and procreating, presumably to contribute to the survival of the Jewish people, constantly threatened by extermination.
",Other,,0.135,0.779,0.086,-0.9262
Let's All Hate Toronto,"Mr. Toronto starts his journey in Hamilton after he sees a billboard boasting ""Toronto Sucks"" as an advertisement campaign. He finds out that some fans of the Hamilton Tiger-Cats put on bags over their heads because of the shame of losing to Toronto during the Labour Day CFL game every year. He decides to go around Canada on a fake ""Toronto Appreciation Day"" tour. Mr. Toronto visits St. John's and Halifax, where Atlantic Canadians spit on his ""Toronto Appreciation Day"" banner. Then he travels to Montreal where local comedy troupe The Dancing Cock Brothers sing ""Goodbye Toronto, Bonjour Montreal""[http://www.ctv.ca/servlet/ArticleNews/story/CTVNews/20060723/neremberg_filmmaker_060723/20060723?hub""cbc"">{{cite web}} During the 2006 NHL Stanley Cup Finals, he visits Edmonton where he risks his life by wearing a faux Wayne Gretzky Toronto Maple Leafs jersey during the Edmonton Oilers’ Stanley Cup run. In the end, Mr. Toronto is so discouraged that, like the Hamilton Tiger Cats fans, he puts a bag on his head and wanders into the fog at Toronto's Nuit Blanche art event, where, after admitting that Toronto does suck, he receives over 1,000 hugs from the Torontonians at the event, including the mayor of Toronto. This makes Mr. Toronto believe that his native city does not suck as the rest of Canada seems to think. Throughout the film Mr. Toronto does several television and radio interviews and is frequently asked, ""What city in Canada hates Toronto the most?"" At the end of the film he realizes that Toronto hates itself the most.
",Other,6.1,0.101,0.836,0.064,-0.8435
Treasure Raiders,"A Russian street racing star named Wolf ---who also happens to be the leader of an anti-illegal drug vigilante group---meets his match in a sly American archeology professor named Michael Nazzaro  who has developed a liking for drag racing on Moscow's streets in order to follow Wolf. The professor, a West Pointer and the descendant of a Templar knight, is in possession of a 16th-century book passed on to him through generations in his family, and is now interested in the Templar medallion in Wolf's possession. The medallion is the professor's key to decoding a name in another Templar book he had come to Moscow to find, a copy of the Gospel of Jacques de Molay. Having made some wealth from an archeological find in Colombia prior to coming to Moscow, the professor offers to bet $50,000 for the medallion in a drag race with Wolf. It turns out Wolf is a likely Russian descendant of a Templar knight himself. Although the professor fails to win the medallion, Wolf joins him in his quest to find the book after a Colombian drug cartel and Russian mafia alliance goes after him. Meanwhile, a well-known historian , a descendant of a Persecutor of the Knights, has also been following the professor in order to destroy his find. To make matters worse, the Moscow police suspect that the professor and Wolf are part of the developing Colombian drug trade in the city and order units to arrest the duo. With time, police, and the mafia against them, will they find the treasure before it is too late? Treasure Raiders on MEG
",Drama,2.7,0.061,0.877,0.062,0.0258
