Genre,Drama,Other,Family,Fiction,Action_Adventure,Horror,total
erwin,0,0,0,0,1,0,1
kasserine,0,0,0,0,1,0,1
aggression,0,0,0,0,1,0,1
truscott,0,0,0,0,1,0,1
first united states army group,0,0,0,0,1,0,1
northwest,0,0,0,0,1,0,1
the battle of el guettar,0,0,0,0,1,0,1
disquiet,0,0,0,0,1,0,1
conqueror,0,0,0,0,1,0,1
m16,0,0,0,0,1,0,1
lou,0,0,0,0,1,0,1
the military police,0,0,0,0,1,0,1
iou,0,0,0,0,1,0,1
flophouse,0,0,0,0,1,0,1
mount prospect,0,0,0,0,1,0,1
malone,0,0,0,0,1,0,1
seventh,0,0,0,0,1,0,1
codman,0,0,0,0,1,0,1
bastogne,0,0,0,0,1,0,1
the third army,0,0,0,0,1,0,1
detour,0,0,0,0,1,0,1
guettar,0,0,0,0,1,0,1
offhand,0,0,0,0,1,0,1
american ii corps,0,0,0,0,1,0,1
seventh army,0,0,0,0,1,0,1
the mexican federal army,0,0,0,0,1,0,1
m1917,0,0,0,0,1,0,1
deke,0,0,0,0,1,0,1
east pakistan,0,0,0,0,1,0,1
indian air force,0,0,0,0,1,0,1
coy,0,0,0,0,1,0,1
punjab regiment,0,0,0,0,1,0,1
jaisalmer,0,0,0,0,1,0,1
kanwar,0,0,0,0,1,0,1
rcl,0,0,0,0,1,0,1
bhairon singh's,0,0,0,0,1,0,1
bhairon,0,0,0,0,1,0,1
hunter-fighters,0,0,0,0,1,0,1
bhan,0,0,0,0,1,0,1
com,0,0,0,0,1,0,1
mathura,0,0,0,0,1,0,1
subedar,0,0,0,0,1,0,1
kuldip,0,0,0,0,1,0,1
swears,0,0,0,0,1,0,1
airbases,0,0,0,0,1,0,1
bhairon singh,0,0,0,0,1,0,1
bajwa,0,0,0,0,1,0,1
gandhi,0,0,0,0,1,0,1
fighters,0,0,0,0,1,0,1
phool,0,0,0,0,1,0,1
mobilization,0,0,0,0,1,0,1
dastagir,0,0,0,0,1,0,1
bsf,0,0,0,0,1,0,1
chandpuri,0,0,0,0,1,0,1
pakistan air force,0,0,0,0,1,0,1
dharamvir,0,0,0,0,1,0,1
kudip,0,0,0,0,1,0,1
kuldip singh chandpuri,0,0,0,0,1,0,1
kamla,0,0,0,0,1,0,1
jodhpur,0,0,0,0,1,0,1
recce,0,0,0,0,1,0,1
shelling,0,0,0,0,1,0,1
jaiselmer,0,0,0,0,1,0,1
bayonet,0,0,0,0,1,0,1
nco,0,0,0,0,1,0,1
reminisce,0,0,0,0,1,0,1
longewala,0,0,0,0,1,0,1
protagoist,0,0,0,0,1,0,1
yuma,0,0,0,0,1,0,1
ramulamma,0,0,0,0,1,0,1
armament,0,0,0,0,1,0,1
gorch,0,0,0,0,1,0,1
jaime,0,0,0,0,1,0,1
grande,0,0,0,0,1,0,1
timer,0,0,0,0,1,0,1
mohr,0,0,0,0,1,0,1
freddie,0,0,0,0,1,0,1
assignation,0,0,0,0,1,0,1
ammo,0,0,0,0,1,0,1
the mexican revolution,0,0,0,0,1,0,1
bandito,0,0,0,0,1,0,1
freddie sykes,0,0,0,0,1,0,1
the rio grande,0,0,0,0,1,0,1
sykes,0,0,0,0,1,0,1
trestle,0,0,0,0,1,0,1
tector,0,0,0,0,1,0,1
sánchez,0,0,0,0,1,0,1
unprofor,0,0,0,0,1,0,1
bosnian,0,0,0,0,1,0,1
peacekeeper,0,0,0,0,1,0,1
baxter,0,0,0,0,1,0,1
komranna,0,0,0,0,1,0,1
esteban,0,0,0,0,1,0,1
san miguel,0,0,0,0,1,0,1
marisol,0,0,0,0,1,0,1
rojos,0,0,0,0,1,0,1
baxters,0,0,0,0,1,0,1
hacienda,0,0,0,0,1,0,1
ramón,0,0,0,0,1,0,1
cera,0,0,0,0,1,0,1
rojo,0,0,0,0,1,0,1
consuelo,0,0,0,0,1,0,1
chico,0,0,0,0,1,0,1
silvanito,0,0,0,0,1,0,1
the bosnian serbs,0,0,0,0,1,0,1
čiki,0,0,0,0,1,0,1
the united nations protection force,0,0,0,0,1,0,1
fjord,0,0,0,0,1,0,1
tenor,0,0,0,0,1,0,1
grady,0,0,0,0,0,1,1
campana,0,0,0,0,1,0,1
the marine corps,0,0,0,0,1,0,1
ufc,0,0,0,0,1,0,1
jiu,0,0,0,0,1,0,1
desertion,0,0,0,0,1,0,1
brendan,0,0,0,0,1,0,1
conlon,0,0,0,0,1,0,1
the u.s. marine corps,0,0,0,0,1,0,1
iinuma michinojo,0,0,0,0,1,0,1
kayano,0,0,0,0,1,0,1
kodachi,0,0,0,0,1,0,1
grain,0,0,0,0,1,0,1
loser,0,0,0,0,1,0,1
geisha,0,0,0,0,1,0,1
tasogare,0,0,0,0,1,0,1
koda,0,0,0,0,1,0,1
measles,0,0,0,0,1,0,1
commiserates,0,0,0,0,1,0,1
jitsu,0,0,0,0,1,0,1
riordan,0,0,0,0,1,0,1
muthupandi,0,0,0,0,1,0,1
brazilian,0,0,0,0,1,0,1
kickback,1,0,0,0,0,0,1
undertaker,0,0,0,0,1,0,1
rance,0,0,0,0,1,0,1
pompey,0,0,0,0,1,0,1
stoddard,0,0,0,0,1,0,1
easterner,0,0,0,0,1,0,1
appleyard,0,0,0,0,1,0,1
peabody,0,0,0,0,1,0,1
statehood,0,0,0,0,1,0,1
hadley,1,0,0,0,0,0,1
delegate,0,0,0,0,1,0,1
dutton,0,0,0,0,1,0,1
sparta,0,0,0,0,1,0,1
rumours,0,0,0,0,1,0,1
choke,0,0,0,0,1,0,1
hesitation,0,0,0,0,1,0,1
mat,0,0,0,0,1,0,1
zen'emon,0,0,0,0,1,0,1
boshin,0,0,0,0,1,0,1
tomoe,0,0,0,0,1,0,1
rafter,0,0,0,0,1,0,1
tirzah,0,0,0,0,1,0,1
calvary,0,0,0,0,1,0,1
esther,0,0,0,0,1,0,1
arrius,0,0,0,0,1,0,1
hur,0,0,0,0,1,0,1
gratus,0,0,0,0,1,0,1
rower,0,0,0,0,1,0,1
esther haya harareet,0,0,0,0,1,0,1
simonides,0,0,0,0,1,0,1
quadriga,0,0,0,0,1,0,1
macedonian,0,0,0,0,1,0,1
haya,0,0,0,0,1,0,1
patrimony,0,0,0,0,1,0,1
flagship,0,0,0,0,1,0,1
macedonians,0,0,0,0,1,0,1
sivasubramanian,0,0,0,0,1,0,1
dhanalakshmi,0,0,0,0,1,0,1
lepers,0,0,0,0,1,0,1
messala,0,0,0,0,1,0,1
charioteer,0,0,0,0,1,0,1
ferocity,0,0,0,0,1,0,1
michinojo,0,0,0,0,1,0,1
iinuma,0,0,0,0,1,0,1
iguchi,0,0,0,0,1,0,1
kayano and ito,0,0,0,0,1,0,1
seibei,0,0,0,0,1,0,1
yogo,0,0,0,0,1,0,1
"tomoe, seibei",0,0,0,0,1,0,1
the boshin war,0,0,0,0,1,0,1
valerius,0,0,0,0,1,0,1
judah,0,0,0,0,1,0,1
harareet,0,0,0,0,1,0,1
stumble,0,0,0,0,1,0,1
sheik,0,0,0,0,1,0,1
ilderim,0,0,0,0,1,0,1
balthasar,0,0,0,0,1,0,1
tribune,0,0,0,0,1,0,1
barman,0,0,0,0,1,0,1
ericson,0,0,0,0,1,0,1
gunfighter,0,0,0,0,1,0,1
comradesthe,0,0,0,0,1,0,1
indio,0,0,0,0,1,0,1
multan,0,0,0,0,1,0,1
plot|datethe,0,0,0,0,1,0,1
mound,0,0,0,0,1,0,1
sacrificethe,0,0,0,0,1,0,1
muzaffarabadthe,0,0,0,0,1,0,1
heroismepilogue,0,0,0,0,1,0,1
breakoutthe aftermaththe nightthe wild chase,0,0,0,0,1,0,1
interventionsaluting,0,0,0,0,1,0,1
stepsinitial,0,0,0,0,1,0,1
realizationthe,0,0,0,0,1,0,1
aftermaththe,0,0,0,0,1,0,1
pak,0,0,0,0,1,0,1
powshope,0,0,0,0,1,0,1
nightunparalleled,0,0,0,0,1,0,1
blur,0,0,0,0,1,0,1
gurtu,0,0,0,0,1,0,1
outdraws,0,0,0,0,1,0,1
jennings rifle company volcanic rifle,0,0,0,0,1,0,1
cavanagh,0,0,0,0,1,0,1
furor,0,0,0,0,1,0,1
gunbelt,0,0,0,0,1,0,1
pocketwatch,0,0,0,0,1,0,1
mortimer,0,0,0,0,1,0,1
rocks,0,0,0,0,1,0,1
chime,0,0,0,0,1,0,1
tucumcari,0,0,0,0,1,0,1
el paso,0,0,0,0,1,0,1
white rocks,0,0,0,0,1,0,1
agua caliente,0,0,0,0,1,0,1
guy calloway,0,0,0,0,1,0,1
caliente,0,0,0,0,1,0,1
manco,0,0,0,0,1,0,1
paso,0,0,0,0,1,0,1
membership,0,0,0,0,1,0,1
butting,0,0,0,0,1,0,1
eastwood,0,0,0,0,1,0,1
nightthe,0,0,0,0,1,0,1
jails,0,0,0,0,1,0,1
congratulates,0,0,0,0,1,0,1
breakoutthe,0,0,0,0,1,0,1
sudevan,0,0,0,0,1,0,1
ventilator,0,0,0,0,1,0,1
abel,0,0,0,0,1,0,1
rajeev,0,0,0,0,1,0,1
sidharth,0,0,0,0,1,0,1
kochi,0,0,0,0,1,0,1
superstar,0,0,0,0,1,0,1
rahman,0,0,0,0,1,0,1
nazar,0,0,0,0,1,0,1
ajmal,0,0,0,0,1,0,1
junction,0,0,0,0,1,0,1
shinbone,0,0,0,0,1,0,1
stoddard and peabody,0,0,0,0,1,0,1
cattleman,0,0,0,0,1,0,1
favorite,0,0,0,0,1,0,1
hallie,0,0,0,0,1,0,1
doniphon,0,0,0,0,1,0,1
palakkad,0,0,0,0,1,0,1
d'souza,0,0,0,0,1,0,1
complexity,0,0,0,0,1,0,1
motherhood,0,0,0,0,1,0,1
camparrival,0,0,0,0,1,0,1
repatriation,0,0,0,0,1,0,1
muzaffarabadthe sacrificethe,0,0,0,0,1,0,1
successthe,0,0,0,0,1,0,1
reasonthe,0,0,0,0,1,0,1
hopethe,0,0,0,0,1,0,1
remittance,0,0,0,0,1,0,1
soman and lakshmi,0,0,0,0,1,0,1
raihan,0,0,0,0,1,0,1
explanations,0,0,0,0,1,0,1
soman,0,0,0,0,1,0,1
janu,0,0,0,0,1,0,1
raju and janu,0,0,0,0,1,0,1
connivance,0,0,0,0,1,0,1
kaniyan,0,0,0,0,1,0,1
commisoner,0,0,0,0,1,0,1
bhuvana,0,0,0,0,1,0,1
gilli309.jpg|thumb|left|200px|velu,0,0,0,0,1,0,1
fitzcarraldo,0,0,0,0,1,0,1
marietta,0,0,0,0,1,0,1
the rock river bridge,0,0,0,0,1,0,1
infantryman,0,0,0,0,1,0,1
chattanooga,0,0,0,0,1,0,1
era.{{cite,0,0,0,0,1,0,1
fort sedgewick,0,0,0,0,1,0,1
wolves,0,0,0,0,1,0,1
pawnee,0,0,0,0,1,0,1
citation,0,0,0,0,1,0,1
mexican pacific,1,0,0,0,0,0,1
kicking,0,0,0,0,1,0,1
spivey,0,0,0,0,1,0,1
baur,0,0,0,0,1,0,1
dances,0,0,0,0,1,0,1
bears,0,0,0,0,1,0,1
sioux,0,0,0,0,1,0,1
migrating,0,0,0,0,1,0,1
disrepair,0,0,0,0,1,0,1
hijacker,0,0,0,0,1,0,1
boneshaker,0,0,0,0,1,0,1
ghilli,0,0,0,0,1,0,1
reversal,0,0,0,0,1,0,1
joshamee,0,0,0,0,1,0,1
weatherby,0,0,0,0,1,0,1
norrington,0,0,0,0,1,0,1
shipwreck,0,0,0,0,1,0,1
seafloor,0,0,0,0,1,0,1
corset,0,0,0,0,1,0,1
bootstrap,0,0,0,0,1,0,1
parley,0,0,0,0,1,0,1
port royal,0,0,0,0,1,0,1
sparrow,0,0,0,0,1,0,1
tortuga,0,0,0,0,1,0,1
barbossa,0,0,0,0,1,0,1
gibbs,0,0,0,0,1,0,1
dauntless,0,0,0,0,1,0,1
handcar,0,0,0,0,1,0,1
western & atlantic railroad,0,0,0,0,1,0,1
flatcar,0,0,0,0,1,0,1
cisco,0,0,0,0,1,0,1
forepaw,0,0,0,0,1,0,1
stands with a fist,0,0,0,0,1,0,1
fort sedgwick,0,0,0,0,1,0,1
les blank }} using,0,0,0,0,1,0,1
archiveurl,0,0,0,0,1,0,1
the ucayali river,0,0,0,0,1,0,1
rapid,0,0,0,0,1,0,1
ucayali,0,0,0,0,1,0,1
portage,0,0,0,0,1,0,1
trans,0,0,0,0,1,0,1
next.<ref,0,0,0,0,1,0,1
herzog's,0,0,0,0,1,0,1
trans-andean,0,0,0,0,1,0,1
peruvian,0,0,0,0,1,0,1
the pachitea river,0,0,0,0,1,0,1
amazon,0,0,0,0,1,0,1
°,0,0,0,0,1,0,1
enrico,0,0,0,0,1,0,1
pulley,0,0,0,0,1,0,1
peru,0,0,0,0,1,0,1
orinoco,0,0,0,0,1,0,1
pachitea,0,0,0,0,1,0,1
tributary,0,0,0,0,1,0,1
alluri,0,0,0,0,1,0,1
sgt,0,0,0,0,1,0,1
observe,0,0,0,0,1,0,1
socks,0,0,0,0,1,0,1
rout,0,0,0,0,1,0,1
stands,0,0,0,0,1,0,1
dunbar,0,0,0,0,1,0,1
cruelity,0,0,0,0,1,0,1
cinematic,0,0,0,0,1,0,1
herzog,0,0,0,0,1,0,1
sitaramaraju,0,0,0,0,1,0,1
iquitos,0,0,0,0,1,0,1
caruso,0,0,0,0,1,0,1
rubber,0,0,0,0,1,0,1
underwriting,0,0,0,0,1,0,1
fjord press,0,0,0,0,1,0,1
dreams,0,0,0,0,1,0,1
rum,0,0,0,0,1,0,1
shockwave,0,0,0,0,1,0,1
isla de muerta,0,0,0,0,1,0,1
brahmanyam,0,0,0,0,1,0,1
kulappully,0,0,0,0,1,0,1
ornament,0,0,0,0,1,0,1
astrologer,0,0,0,0,1,0,1
jagannadhan,0,0,0,0,1,0,1
ayinikad,0,0,0,0,1,0,1
keezhpayoor,0,0,0,0,1,0,1
thamburan,0,0,0,0,1,0,1
brahmadathan,0,0,0,0,1,0,1
appan,0,0,0,0,1,0,1
unnimaya,0,0,0,0,1,0,1
nayanthara,0,0,0,0,1,0,1
abey,0,0,0,0,1,0,1
nandakumar,0,0,0,0,1,0,1
kanimangalam,0,0,0,0,1,0,1
kulappully appan thamburan,0,0,0,0,1,0,1
yagyopaveetham,0,0,0,0,1,0,1
kaloor,0,0,0,0,1,0,1
mana,0,0,0,0,1,0,1
namboothiri,0,0,0,0,1,0,1
jagannathan,0,0,0,0,1,0,1
naina,0,0,0,0,1,0,1
muthupandi’s,0,0,0,0,1,0,1
velu-,0,0,0,0,1,0,1
nagant,0,0,0,0,1,0,1
ruskeala,0,0,0,0,1,0,1
karelia,0,0,0,0,1,0,1
gunner,0,0,0,0,1,0,1
vaskov,0,0,0,0,1,0,1
gadget,0,0,0,0,1,0,1
binami,0,0,0,0,1,0,1
insecure,0,0,0,0,1,0,1
shivaji,0,0,0,0,1,0,1
chatrapati,0,0,0,0,1,0,1
terminus,0,0,0,0,1,0,1
runway,0,0,0,0,1,0,1
perish,0,0,0,0,1,0,1
prakash,0,0,0,0,1,0,1
deity,0,0,0,0,1,0,1
registration,0,0,0,0,1,0,1
isla,0,0,0,0,1,0,1
kulappully appan's,0,0,0,0,1,0,1
german grand prix,0,0,0,0,1,0,1
the 1976,0,0,0,0,1,0,1
niki,0,0,0,0,1,0,1
nürburgring,0,0,0,0,1,0,1
fuji,0,0,0,0,1,0,1
world championship at fuji,0,0,0,0,1,0,1
formula one,0,0,0,0,1,0,1
black pearl,0,0,0,0,1,0,1
barter,0,0,0,0,1,0,1
jamaica,0,0,0,0,1,0,1
the hms interceptor,0,0,0,0,1,0,1
the black pearl,0,0,0,0,1,0,1
swann,0,0,0,0,1,0,1
muerta,0,0,0,0,1,0,1
pulse,0,0,0,0,1,0,1
the pirate code,0,0,0,0,1,0,1
commodore,0,0,0,0,1,0,1
lauda,0,0,0,0,1,0,1
immedietley,0,0,0,0,1,0,1
hridoy,0,0,0,0,1,0,1
makabe,0,0,0,0,1,0,1
dathan,0,0,0,0,1,0,1
jagan,0,0,0,0,1,0,1
nandan,0,0,0,0,1,0,1
the kaloor brahmadathan namboothiri,0,0,0,0,1,0,1
kali,0,0,0,0,1,0,1
misa,0,0,0,0,1,0,1
hayakawa,0,0,0,0,1,0,1
uehara,0,0,0,0,1,0,1
misha,0,0,0,0,1,0,1
ryō,0,0,0,0,1,0,1
matashichi,0,0,0,0,1,0,1
rokurota,0,0,0,0,1,0,1
akizuki,0,0,0,0,1,0,1
tahei,0,0,0,0,1,0,1
sawdagar,0,0,0,0,1,0,1
heartedness,0,0,0,0,1,0,1
whispering,0,0,0,0,1,0,1
hannasseys,0,0,0,0,1,0,1
julie,0,0,0,0,1,0,1
raja rathnam,0,0,0,0,1,0,1
stepbrother,0,0,0,0,1,0,1
muthu lakshmi ammal,0,0,0,0,1,0,1
raja rathnam pillai,0,0,0,0,1,0,1
rajamanikyam,0,0,0,0,1,0,1
gatewood,0,0,0,0,1,0,1
tonto,0,0,0,0,1,0,1
dry,0,0,0,0,1,0,1
objecting,0,0,0,0,1,0,1
plummers,0,0,0,0,1,0,1
boone,0,0,0,0,1,0,1
handcuff,0,0,0,0,1,0,1
arizona territory,0,0,0,0,1,0,1
wilcox,0,0,0,0,1,0,1
warpath,0,0,0,0,1,0,1
lordsburg,0,0,0,0,1,0,1
mitchell,0,0,0,0,1,0,1
"the ""war for southern independence",0,0,0,0,1,0,1
ammal,0,0,0,0,1,0,1
nadar,0,0,0,0,1,0,1
ima,0,0,0,0,1,0,1
raja rathnam's,0,0,0,0,1,0,1
rights,0,0,0,0,1,0,1
vere,0,0,0,0,1,0,1
captain vere,0,0,0,0,1,0,1
abdication,0,0,0,0,1,0,1
rigging,0,0,0,0,1,0,1
gruel,0,0,0,0,1,0,1
the rights of war,0,0,0,0,1,0,1
yonder,0,0,0,0,1,0,1
claggart,0,0,0,0,1,0,1
yardarm,0,0,0,0,1,0,1
flogging,0,0,0,0,1,0,1
rajasel,0,0,0,0,1,0,1
rathnam,0,0,0,0,1,0,1
bellary,0,0,0,0,1,0,1
south kerala,0,0,0,0,1,0,1
muthu lakshmi,0,0,0,0,1,0,1
rajaselvam,0,0,0,0,1,0,1
blanchard,0,0,0,0,1,0,1
geronimo,0,0,0,0,1,0,1
plummer,0,0,0,0,1,0,1
"the ""war of the rebellion",0,0,0,0,1,0,1
conscript,0,0,0,0,1,0,1
mourns,0,0,0,0,1,0,1
katsumoto,0,0,0,0,1,0,1
nobutada,0,0,0,0,1,0,1
imperial japanese,0,0,0,0,1,0,1
hirotaro,0,0,0,0,1,0,1
the battle of thermopylae,0,0,0,0,1,0,1
thermopylae,0,0,0,0,1,0,1
leading,0,0,0,0,1,0,1
bushido,0,0,0,0,1,0,1
meiji,0,0,0,0,1,0,1
point 5179,0,0,0,0,1,0,1
vantage,0,0,0,0,1,0,1
the indian military academy,0,0,0,0,1,0,1
lakshya,0,0,0,0,1,0,1
shergill,0,0,0,0,1,0,1
3rd,0,0,0,0,1,0,1
omura,0,0,0,0,1,0,1
gant,0,0,0,0,1,0,1
ujio,0,0,0,0,1,0,1
doc boone,0,0,0,0,1,0,1
bancroft,0,0,0,0,1,0,1
the ringo kid,0,0,0,0,1,0,1
apache,0,0,0,0,1,0,1
the union army,0,0,0,0,1,0,1
dry fork,0,0,0,0,1,0,1
new mexico territory,0,0,0,0,1,0,1
apaches,0,0,0,0,1,0,1
mallory,0,0,0,0,1,0,1
bagley,0,0,0,0,1,0,1
peacock,0,0,0,0,1,0,1
hatfield,0,0,0,0,1,0,1
luke,0,0,0,0,1,0,1
algren,0,0,0,0,1,0,1
imperial army,0,0,0,0,1,0,1
zebulon,0,0,0,0,1,0,1
taka,0,0,0,0,1,0,1
squeak,0,0,0,0,1,0,1
shipmate,0,0,0,0,1,0,1
flavor,0,0,0,0,1,0,1
substitution,0,0,0,0,1,0,1
destiny island,1,0,0,0,0,0,1
hornet,0,0,0,0,1,0,1
riverbank,0,0,0,0,1,0,1
fulfillment,0,0,0,0,1,0,1
arrowhead,0,0,0,0,1,0,1
jaguar paw,0,0,0,0,1,0,1
maize,0,0,0,0,1,0,1
hunted,0,0,0,0,1,0,1
bludgeon,0,0,0,0,1,0,1
pross,0,0,0,0,1,0,1
ernest,0,0,0,0,1,0,1
darnay,0,0,0,0,1,0,1
barsad,0,0,0,0,1,0,1
cleverness,0,0,0,0,1,0,1
manette,0,0,0,0,1,0,1
the english channel,0,0,0,0,1,0,1
defarge,0,0,0,0,1,0,1
smoke frog,0,0,0,0,1,0,1
vine,0,0,0,0,1,0,1
coating,0,0,0,0,1,0,1
kukulkan,0,0,0,0,1,0,1
amazement,0,0,0,0,1,0,1
cocoa,0,0,0,0,1,0,1
quarry,0,0,0,0,1,0,1
drunkards,0,0,0,0,1,0,1
cut rock,0,0,0,0,1,0,1
cut rock's,0,0,0,0,1,0,1
next,0,0,0,0,1,0,1
middle eye,0,0,0,0,1,0,1
blunted,0,0,0,0,1,0,1
subdue,0,0,0,0,1,0,1
hunting,0,0,0,0,1,0,1
tapir,0,0,0,0,1,0,1
mesoamerican,0,0,0,0,1,0,1
paw,0,0,0,0,1,0,1
atlatls,0,0,0,0,1,0,1
curl,0,0,0,0,1,0,1
aristocrat,0,0,0,0,1,0,1
woods,0,0,0,0,1,0,1
cynicism,0,0,0,0,1,0,1
the french revolution,0,0,0,0,1,0,1
cherokee,0,0,0,0,1,0,1
militia,0,0,0,0,1,0,1
union militia,0,0,0,0,1,0,1
josey,0,0,0,0,1,0,1
fletcher,0,0,0,0,1,0,1
gatling,0,0,0,0,1,0,1
santa rio,0,0,0,0,1,0,1
bushwhackers,0,0,0,0,1,0,1
pro-union jayhawkers,0,0,0,0,1,0,1
monterrey,0,0,0,0,1,0,1
redlegs,0,0,0,0,1,0,1
texas rangers,0,0,0,0,1,0,1
comancheros,0,0,0,0,1,0,1
watie,0,0,0,0,1,0,1
budd,0,0,0,0,1,0,1
fairfax,0,0,0,0,1,0,1
murderers,0,0,0,0,1,0,1
jayhawkers,0,0,0,0,1,0,1
noland,0,0,0,0,1,0,1
volleyball,0,0,0,0,1,0,1
kelly frears,0,0,0,0,1,0,1
marquis,0,0,0,0,1,0,1
evremonde,0,0,0,0,1,0,1
evremondes,0,0,0,0,1,0,1
seamstress,0,0,0,0,1,0,1
bastille,0,0,0,0,1,0,1
madame guillotine,0,0,0,0,1,0,1
carton,0,0,0,0,1,0,1
frears,0,0,0,0,1,0,1
pickup,0,0,0,0,1,0,1
productivity,0,0,0,0,1,0,1
fedex,0,0,0,0,1,0,1
wilson sporting goods,0,0,0,0,1,0,1
goods,0,0,0,0,1,0,1
loincloth,0,0,0,0,1,0,1
locator,0,0,0,0,1,0,1
illustration,0,0,0,0,1,0,1
romi,0,0,0,0,1,0,1
nh1d.,0,0,0,0,1,0,1
leech,0,0,0,0,1,0,1
tishkoff,0,0,0,0,1,0,1
incineration,0,0,0,0,1,0,1
mgm,0,0,0,0,1,0,1
safekeeping,0,0,0,0,1,0,1
ventilation,0,0,0,0,1,0,1
palestinian,0,0,0,0,1,0,1
olive,0,0,0,0,1,0,1
west bank,0,0,0,0,1,0,1
morrar,0,0,0,0,1,0,1
ayed,0,0,0,0,1,0,1
jordana,0,0,0,0,1,0,1
bacha,0,0,0,0,1,0,1
fatah,0,0,0,0,1,0,1
ramification,0,0,0,0,1,0,1
budrus,0,0,0,0,1,0,1
the jewish daily forward,0,0,0,0,1,0,1
gildoy,0,0,0,0,1,0,1
lord gildoy,0,0,0,0,1,0,1
electronics,0,0,0,0,1,0,1
caldwell,0,0,0,0,1,0,1
kargil,0,0,0,0,1,0,1
familiarity,0,0,0,0,1,0,1
basher,0,0,0,0,1,0,1
mgm grand,0,0,0,0,1,0,1
reuben,0,0,0,0,1,0,1
linus,0,0,0,0,1,0,1
bruiser,0,0,0,0,1,0,1
logo,0,0,0,0,1,0,1
tarr,0,0,0,0,1,0,1
malloy,0,0,0,0,1,0,1
rusty,0,0,0,0,1,0,1
amazing,0,0,0,0,1,0,1
livingston,0,0,0,0,1,0,1
benedict,0,0,0,0,1,0,1
bellagio,0,0,0,0,1,0,1
judgement,0,0,0,0,1,0,1
the nevada gaming commission,0,0,0,0,1,0,1
dell,0,0,0,0,1,0,1
advertising,0,0,0,0,1,0,1
emissary,0,0,0,0,1,0,1
personage,0,0,0,0,1,0,1
monmouth,0,0,0,0,1,0,1
dereliction,0,0,0,0,1,0,1
chidambaram,0,0,0,0,1,0,1
v.,0,0,0,0,1,0,1
vijayakumar,0,0,0,0,1,0,1
referee,0,0,0,0,1,0,1
tara,0,0,0,0,1,0,1
parentage,0,0,0,0,1,0,1
the academy &,0,0,0,0,1,0,1
jayachitra,0,0,0,0,1,0,1
enquires,0,0,0,0,1,0,1
hallorann,0,0,0,0,0,1,1
bourbon,0,0,0,0,0,1,1
binge,0,0,0,0,0,1,1
orientation,0,0,0,0,0,1,1
reɑяum,0,0,0,0,0,1,1
ullman,0,0,0,0,0,1,1
shine,0,0,0,0,0,1,1
cascade,0,0,0,0,0,1,1
vishwanath,0,0,0,0,1,0,1
sumitra,0,0,0,0,1,0,1
bailout,0,0,0,0,1,0,1
the monmouth rebellion,0,0,0,0,1,0,1
whim,0,0,0,0,1,0,1
sojourn,0,0,0,0,1,0,1
indies,0,0,0,0,1,0,1
willoughby,0,0,0,0,1,0,1
jeffreys,0,0,0,0,1,0,1
levasseur,0,0,0,0,1,0,1
emancipation,0,0,0,0,1,0,1
piracy,0,0,0,0,1,0,1
nirosha,0,0,0,0,1,0,1
the west indies,0,0,0,0,1,0,1
glorious,0,0,0,0,1,0,1
arabella,0,0,0,0,1,0,1
assizes,0,0,0,0,1,0,1
the glorious revolution,0,0,0,0,1,0,1
berates,0,0,0,0,1,0,1
ramaswamy,0,0,0,0,1,0,1
saul,0,0,0,0,1,0,1
catton,0,0,0,0,1,0,1
escalante,0,0,0,0,1,0,1
vaudeville,0,0,0,0,1,0,1
feroz,0,0,0,0,1,0,1
suchek,0,0,0,0,1,0,1
cloverleaf,0,0,0,0,1,0,1
the acme corporation,0,0,0,0,1,0,1
weasel,0,0,0,0,1,0,1
reappearing,0,0,0,0,1,0,1
dolores,0,0,0,0,1,0,1
acme,0,0,0,0,1,0,1
the toon patrol,0,0,0,0,1,0,1
sprayer,0,0,0,0,1,0,1
toontown,0,0,0,0,1,0,1
dip,0,0,0,0,1,0,1
maroon,0,0,0,0,1,0,1
cloverleaf industries,0,0,0,0,1,0,1
electric,0,0,0,0,1,0,1
valiant,0,0,0,0,1,0,1
solvent,0,0,0,0,1,0,1
rajashekhar,0,0,0,0,1,0,1
imtiyaz,0,0,0,0,1,0,1
zameer,0,0,0,0,1,0,1
undergarment,0,0,0,0,1,0,1
sector,0,0,0,0,1,0,1
the 3rd battalion of the punjab regiment,0,0,0,0,1,0,1
damle,0,0,0,0,1,0,1
salesgirl,0,0,0,0,1,0,1
rosebush,0,0,0,0,1,0,1
sarada,0,0,0,0,1,0,1
dileep,0,0,0,0,1,0,1
hater,0,0,0,0,1,0,1
hq,0,0,0,0,1,0,1
the mumbai police department,0,0,0,0,1,0,1
jatin,0,0,0,0,1,0,1
jeeva,0,0,0,0,1,0,1
rookie,0,0,0,0,1,0,1
siddiqui,0,0,0,0,1,0,1
yashpal,0,0,0,0,1,0,1
agashe,0,0,0,0,1,0,1
toon,0,0,0,0,1,0,1
pacific electric,0,0,0,0,1,0,1
yen,0,0,0,0,1,0,1
cloverleaf and acme's,0,0,0,0,1,0,1
donut,0,0,0,0,1,0,1
turmoil,0,0,0,0,1,0,1
guzheng,0,0,0,0,1,0,1
sty,0,0,0,0,1,0,1
pulpit,0,0,0,0,1,0,1
qi,0,0,0,0,1,0,1
the iron fist,0,0,0,0,1,0,1
the axe gang,0,0,0,0,1,0,1
thandavan,0,0,0,0,1,0,1
