Movie_name,Top_genres,Release_Date,tconst,capped_profit,Successful,role_1,role_2,role_3,role_4,role_1_birth_year,role_2_birth_year,role_3_birth_year,role_4_birth_year,role_1_roles_count,role_2_roles_count,role_3_roles_count,role_4_roles_count,role_1_sex,role_2_sex,role_3_sex,role_4_sex
The Underneath,Drama,1995,tt0114788,-9576088.503126984,4.3,nm0001251,nm0000223,nm0254362,nm0001209,1955,1963,1970,1956,162.0,140.0,14.0,98.0,M,F,F,M
Tron,Drama,1982,tt0084827,11609286.614221303,4.8,nm0000313,nm0000310,nm0001831,nm0604563,1949,1950,1941,1954,91.0,337.0,119.0,20.0,M,M,M,F
Sing,Drama,1989,tt0098335,4317044.093670342,4.7,nm0000966,nm0229930,nm0824763,nm0489837,1954,1964,1965,1939,115.0,64.0,82.0,362.0,F,M,F,F
City of Life and Death,Drama,2009,tt1124052,-13241697.236374144,4.6,nm1091782,nm1981215,nm0620024,nm0304729,1978,1962,1976,1979,31.0,26.0,9.0,19.0,M,M,M,F
Reign of Fire,Drama,2002,tt0253556,-78966893.676164,3.1,nm0000190,nm0000288,nm0001713,nm0124930,1969,1974,1970,1969,84.0,50.0,27.0,69.0,M,M,F,M
Pathinonnil Vyazham,Drama,2010,tt1857821,0.0,4.0,nm0611481,nm1474067,nm1432228,nm0893449,\N,\N,\N,1948,364.0,9.0,6.0,135.0,M,F,M,M
Tokyo Drifter,Drama,1966,tt0061101,0.0,4.7,nm0913911,nm0559385,nm0632967,nm0442709,1941,1945,1930,1938,183.0,58.0,61.0,48.0,M,F,M,M
My Big Love,Drama,2008,tt1132472,0.0,4.4,nm1373129,nm2049965,nm1216694,nm1235142,1984,1984,1983,1964,479.0,854.0,1217.0,44.0,F,M,F,M
The Kids Are All Right,Drama,2010,tt0842926,11609286.614221303,4.9,nm0000906,nm0000194,nm0749263,nm1985859,1958,1960,1967,1989,45.0,82.0,60.0,36.0,F,F,M,F
Primeval,Drama,2007,tt0772193,11609286.614221303,4.4,nm0700712,nm0428963,nm0486728,nm0001638,1970,1968,1970,1941,131.0,150.0,74.0,92.0,M,M,F,M
Terminal Velocity,Drama,1994,tt0111400,-53537910.045201555,3.4,nm0000221,nm0000176,nm0001254,nm0001520,1965,1961,1961,1955,371.0,62.0,110.0,141.0,M,F,M,M
Harakiri,Drama,1962,tt0056058,0.0,5.0,nm0619938,nm0410968,nm0412615,nm0848533,1932,1935,1941,1922,94.0,33.0,75.0,86.0,M,M,F,M
The Blonde Captive,Drama,1931,tt1268864,0.0,4.1,,nm0859180,,,,1892,,,,56.0,,,,M,,
They Won't Believe Me,Drama,1947,tt0039896,0.0,4.7,nm0001870,nm0001333,nm0339452,nm0426089,1907,1917,1924,1913,388.0,49.0,29.0,23.0,M,F,F,F
Yeh Faasley,Drama,2011,tt1797548,0.0,4.4,nm4225823,nm0084443,nm0151534,nm3229865,\N,1965,1965,\N,1.0,226.0,6802.0,5.0,F,F,F,M
Lady of the Night,Drama,1925,tt0016005,0.0,4.6,nm0790454,nm0570006,nm0037761,nm0260705,1902,1892,1899,1872,36.0,24.0,23.0,4.0,F,M,M,M
The Halliday Brand,Drama,1957,tt0050481,0.0,4.5,nm0001072,nm0511798,nm0086198,nm0000955,1905,1920,1923,1903,100.0,82.0,18.0,154.0,M,F,F,M
The Luzhin Defence,Drama,2000,tt0211492,0.0,4.6,nm0001806,nm0001833,nm0416524,nm0934179,1957,1967,1950,1946,72.0,61.0,139.0,47.0,M,F,F,M
Mere Brother Ki Dulhan,Drama,2011,tt1740710,-5798973.552108533,4.3,nm1405359,nm1229940,nm3773554,nm4594542,1983,1984,1980,\N,16.0,39.0,8.0,14.0,M,F,M,F
The Black Godfather,Drama,1974,tt0071225,0.0,4.1,nm0675272,nm0454611,nm0153944,nm0814032,1934,1939,1935,1949,29.0,2.0,17.0,5.0,M,M,M,F
Thir13en Ghosts,Drama,2001,tt0245674,11609286.614221303,4.6,nm0001724,nm0002436,nm0001110,nm0000498,1953,1973,1965,1970,191.0,52.0,33.0,230.0,M,F,F,M
Love Has Many Faces,Drama,1965,tt0059403,0.0,4.3,nm0001805,nm0731772,nm0639385,nm0738746,1921,1923,1925,1922,56.0,96.0,275.0,57.0,F,M,M,F
The Americanization of Emily,Drama,1964,tt0057840,0.0,4.7,nm0001258,nm0000267,nm0002048,nm0000336,1928,1935,1901,1928,282.0,56.0,101.0,120.0,M,F,M,M
Cotton Mary,Drama,1999,tt0159373,0.0,4.3,nm0000627,nm0415528,nm0928134,nm0046002,1960,1933,1958,1943,75.0,30.0,48.0,12.0,F,F,M,F
Made,Drama,2001,tt0227005,642627.7224218749,4.5,nm0000681,nm0269463,nm0990494,nm0000463,1970,1966,1953,1964,54.0,28.0,1.0,84.0,M,M,M,F
Two People,Drama,1973,tt0070845,0.0,4.5,nm0001228,nm0905993,nm0663820,nm0297322,1940,1949,1927,1944,72.0,139.0,21.0,39.0,M,F,F,M
Parasmani,Drama,1963,tt0242760,0.0,4.6,nm0321161,nm0536948,nm1354660,nm1586089,1947,1919,1938,\N,9.0,48.0,4.0,7.0,F,M,F,M
The Affairs of Jimmy Valentine,Drama,1942,tt0034432,0.0,4.5,nm0641454,nm0856074,nm0225649,nm0092129,1908,1920,1917,1901,77.0,14.0,13.0,9.0,M,F,F,M
Kill and Kill Again,Drama,1981,tt0082612,0.0,4.2,nm0752591,nm0471241,nm2092857,nm0933827,1952,\N,\N,\N,14.0,6.0,4.0,2.0,M,F,M,F
The Ten Commandments,Drama,1956,tt0049833,11609286.614221303,6.2,nm0000032,nm0000989,nm0000879,nm0000064,1923,1920,1923,1893,208.0,51.0,79.0,83.0,M,M,F,M
Gangster No. 1,Drama,2000,tt0210065,0.0,4.6,nm0000532,nm0000667,nm0079273,nm0004787,1943,1963,1971,1972,206.0,99.0,60.0,107.0,M,M,M,F
The Genius Club,Drama,2006,tt0499484,0.0,4.4,nm0001744,nm0000286,nm1408804,nm2184087,1961,1966,\N,\N,180.0,174.0,15.0,1.0,M,M,F,M
Partner,Drama,2008,tt1422720,0.0,4.4,nm3359107,nm3054665,nm3452865,nm1372878,1978,1980,\N,1951,28.0,91.0,5.0,10.0,M,F,F,M
Moll Flanders,Drama,1996,tt0117071,0.0,4.5,nm0000705,nm0000151,nm0000330,nm0001487,1966,1937,1944,1961,116.0,528.0,157.0,56.0,F,M,F,M
Paranoid Park,Drama,2007,tt0842929,5190171.585327653,4.7,nm2437336,nm2436421,nm0597410,nm2683844,1991,\N,1993,\N,2.0,2.0,3.0,1.0,M,M,F,M
Witchfinder General,Drama,1968,tt0063285,0.0,4.6,nm0001637,nm0644707,nm0203959,nm0943859,1911,1943,1916,1926,172.0,69.0,121.0,17.0,M,M,M,M
Conspiracy of Silence,Drama,2003,tt0308129,-3860703.057757645,4.5,nm1047867,nm0002084,nm0639747,nm0193642,\N,1945,1946,1968,40.0,57.0,8.0,8.0,M,F,M,F
DinoCroc,Drama,2004,tt0365653,0.0,3.9,nm0541908,nm0621008,nm0919361,nm0096988,1965,1936,1943,1967,206.0,112.0,189.0,298.0,M,M,M,M
10th & Wolf,Drama,2006,tt0360323,-9394680.666363524,4.3,nm0005188,nm0000610,nm0000605,nm0005305,1973,1974,1982,1976,107.0,113.0,17.0,118.0,M,M,M,F
Night Train to Venice,Drama,1993,tt0107683,0.0,3.6,nm0000424,nm0193520,nm0000532,nm0845453,1960,1961,1943,1912,52.0,18.0,206.0,21.0,M,F,M,F
Last Present,Drama,2001,tt0294949,0.0,4.6,nm0497631,nm0498472,nm1040587,nm1048221,1972,1971,1965,1969,35.0,38.0,15.0,1.0,M,F,M,M
Loving,Drama,1970,tt0066017,0.0,4.5,nm0001719,nm0001693,nm0001330,nm0943978,1934,1924,1916,1916,245.0,58.0,59.0,137.0,M,F,M,M
Julia,Drama,1977,tt0076245,11609286.614221303,7.1,nm0000404,nm0000603,nm0001673,nm0001703,1937,1937,1922,1930,171.0,221.0,113.0,106.0,F,F,M,M
Anything for Her,Drama,2008,tt1217637,-3794794.9041906153,4.6,nm0512071,nm1208167,nm3249161,nm0545356,1959,1976,2001,1958,74.0,82.0,1.0,97.0,M,F,M,M
Aces: Iron Eagle III,Drama,1992,tt0103617,0.0,3.9,nm0001283,nm0572914,nm0293550,nm0001976,1936,1955,1943,1933,170.0,2.0,61.0,74.0,M,F,M,M
Speak,Drama,2004,tt0378793,-1253345.98076414,4.7,nm0829576,nm0001610,nm0353527,nm0797732,1990,1960,\N,\N,42.0,121.0,1.0,4.0,F,F,M,F
Port of Seven Seas,Drama,1938,tt0030615,0.0,4.4,nm0000891,nm0604656,nm0001577,nm0063619,1885,1890,1911,1909,156.0,66.0,70.0,57.0,M,M,F,M
Young Guns,Drama,1988,tt0096487,11609286.614221303,4.8,nm0000389,nm0000662,nm0001617,nm0000221,1962,1966,1962,1965,33.0,387.0,181.0,371.0,M,M,M,M
The Hook,Drama,1963,tt0057152,0.0,4.6,nm0000018,nm0907480,nm0011244,nm0535694,1916,1940,1931,1921,86.0,32.0,122.0,22.0,M,M,M,M
Space Amoeba,Drama,1970,tt0065776,0.0,4.3,nm0473530,nm0847106,nm0462085,nm0756292,1936,1949,1946,1932,38.0,1.0,4.0,22.0,M,F,F,M
Beyond the Limits,Drama,2003,tt0297780,0.0,4.2,nm0004540,nm0295031,nm0187229,nm1131963,1972,1968,\N,\N,18.0,6.0,1.0,3.0,M,M,M,F
A Very Long Engagement,Drama,2004,tt0344510,11609286.614221303,5.0,nm0851582,nm0880484,nm0000149,nm0684500,1976,1984,1962,1955,32.0,32.0,76.0,132.0,F,M,F,M
Aithe,Drama,2003,tt0460394,0.0,4.9,nm1924625,nm8529746,nm1920568,nm1918040,\N,\N,\N,\N,3.0,1.0,7.0,4.0,M,M,M,M
The King of Marvin Gardens,Drama,1972,tt0068805,0.0,4.6,nm0000197,nm0001136,nm0000995,nm0732783,1937,1936,1932,1951,56.0,125.0,160.0,1.0,M,M,F,F
Battle Beneath the Earth,Drama,1967,tt0061387,0.0,4.1,nm0558663,nm0893387,nm0044010,nm0036170,1926,1945,1914,1920,26.0,6.0,61.0,31.0,M,F,M,M
Barry Lyndon,Drama,1975,tt0072684,11609286.614221303,7.1,nm0641939,nm0001943,nm0535861,nm0473228,1941,1947,1922,1928,433.0,64.0,30.0,60.0,M,F,M,M
Dead of Night,Drama,1945,tt0037635,0.0,4.8,nm0424345,nm0714878,nm0191745,nm0581146,1899,1908,1900,1890,32.0,63.0,44.0,30.0,M,M,M,F
Kannathil Muthamittal,Drama,2002,tt0312859,0.0,5.0,nm1149405,nm0801264,nm0534856,nm0201903,1992,1976,1970,1969,1.0,474.0,207.0,44.0,F,F,M,F
Walking Tall,Drama,2004,tt0351977,-70187374.92279184,3.3,nm0425005,nm1008709,nm0424216,nm0100889,1972,1977,1971,1953,233.0,61.0,45.0,31.0,M,F,M,M
The Spy Who Came in from the Cold,Drama,1965,tt0059749,0.0,4.8,nm0000009,nm0921459,nm0001954,nm0910737,1925,1922,1931,1919,107.0,18.0,94.0,44.0,M,M,F,M
I Thank a Fool,Drama,1962,tt0056089,0.0,4.5,nm0001333,nm0002075,nm0162283,nm0159258,1917,1916,1932,1910,49.0,43.0,34.0,84.0,F,M,F,M
Across 110th Street,Drama,1972,tt0068168,11609286.614221303,4.9,nm0000063,nm0001433,nm0290047,nm0012524,1915,1939,1928,1937,117.0,41.0,151.0,5.0,M,M,M,M
Seconds,Drama,1966,tt0060955,0.0,4.8,nm0001369,nm0132100,nm0709907,nm0717265,1925,1919,1915,1914,103.0,286.0,57.0,75.0,M,M,M,F
Little Lord Fauntleroy,Drama,1936,tt0027893,0.0,4.7,nm0000861,nm0182537,nm0807580,nm0452128,1924,1903,1863,1882,22.0,26.0,37.0,65.0,M,F,M,M
Mulligans,Drama,2008,tt1106447,0.0,4.5,nm1026161,nm0318744,nm1263747,nm1231522,1972,1970,1980,1980,35.0,103.0,14.0,39.0,M,F,M,M
The Spiral Road,Drama,1962,tt0056516,0.0,4.5,nm0001369,nm0412322,nm0001687,nm0444584,1925,1909,1930,1916,103.0,78.0,72.0,44.0,M,M,F,M
Shagird,Drama,1967,tt0306065,0.0,4.7,nm0611535,nm0052570,nm0424102,nm0403827,1939,1944,1920,1922,19.0,425.0,31.0,35.0,M,F,M,M
The Man From London,Drama,2007,tt0415127,0.0,4.7,nm1716909,nm0842770,nm0126969,nm0220729,1951,1960,\N,1954,22.0,82.0,2.0,23.0,M,F,F,M
I Killed My Mother,Drama,2009,tt1424797,0.0,4.7,nm0234237,nm0230859,nm2957696,nm0167501,1960,1989,1985,1969,174.0,22.0,118.0,127.0,F,M,M,F
Lawless Heart,Drama,2001,tt0276276,0.0,4.6,nm0378112,nm0390903,nm0631490,nm0194662,1965,1967,1949,1957,102.0,78.0,115.0,97.0,M,M,M,F
Breathing,Drama,2011,tt1680679,0.0,4.7,nm4752229,nm4168390,nm0295429,nm0509508,1993,1979,1966,1970,13.0,6.0,53.0,14.0,M,F,M,M
Men of Honor,Drama,2000,tt0203019,0.0,4.7,nm0000421,nm0000134,nm0000234,nm0254712,1968,1943,1975,1969,76.0,116.0,53.0,157.0,M,M,F,F
Slattery's Hurricane,Drama,1949,tt0041883,0.0,4.5,nm0001847,nm0001105,nm0000043,nm0751245,1914,1923,1922,1921,70.0,47.0,23.0,85.0,M,F,F,M
Teeth,Drama,2007,tt0780622,388325.45187529974,4.3,nm1422176,nm0378161,nm0656929,nm2082776,\N,\N,\N,\N,29.0,113.0,11.0,57.0,F,M,M,M
The Pickle,Drama,1993,tt0107824,138429.8176025382,4.1,nm0000732,nm0001007,nm0183660,nm0001859,1933,1937,1969,1920,101.0,64.0,59.0,88.0,M,F,F,F
The Dark Corner,Drama,1946,tt0038453,0.0,4.7,nm0000840,nm0916067,nm0000904,nm0828594,1911,1889,1906,1916,562.0,20.0,162.0,77.0,F,M,M,M
The Bet Collector,Drama,2006,tt0782053,0.0,4.7,nm0661262,nm2354147,nm0430493,nm0190467,1950,\N,\N,\N,436.0,1.0,24.0,43.0,F,M,M,M
Daddy's Little Girls,Drama,2007,tt0778661,11609286.614221303,4.6,nm0005517,nm0252961,nm0743896,nm0001283,1972,1972,1972,1936,131.0,144.0,390.0,170.0,F,M,F,M
Linewatch,Drama,2008,tt1047832,-5497757.031773125,4.2,nm0000421,nm1165044,nm1963091,nm0606487,1968,1974,1988,1963,76.0,137.0,16.0,92.0,M,M,M,M
Final Approach,Drama,1991,tt0101874,0.0,4.3,nm0797725,nm0001185,nm0001750,nm0002994,1934,1936,1957,1914,48.0,91.0,17.0,99.0,M,M,F,M
Slipstream,Drama,2005,tt0381601,0.0,4.1,nm0000276,nm0005068,nm0587431,nm0653268,1971,1965,1974,\N,392.0,70.0,64.0,7.0,M,M,F,M
Love Happens,Drama,2009,tt0899106,11609286.614221303,4.6,nm0000098,nm0001173,nm0283945,nm0002253,1969,1968,1976,1963,354.0,57.0,65.0,86.0,F,M,M,M
The Mudge Boy,Drama,2003,tt0339419,-1029520.8154020384,4.7,nm0386472,nm0420955,nm0347509,nm1032567,1985,1947,1981,1978,65.0,45.0,29.0,73.0,M,M,M,M
Jane Eyre,Drama,1996,tt0116684,7849348.709613219,4.8,nm0000458,nm0001250,nm0001593,nm0461025,1950,1971,1982,1981,92.0,62.0,131.0,2.0,M,F,F,M
11/11/11,Drama,2011,tt2139521,6040387.662685096,4.7,nm2219230,nm4815081,nm2659282,nm4226112,1980,\N,\N,\N,3.0,3.0,9.0,46.0,F,F,M,M
Homesdale,Drama,1971,tt0067211,0.0,4.3,nm1235342,nm0093943,nm0280553,nm0232685,\N,1943,1947,\N,1.0,105.0,80.0,2.0,M,M,F,M
Johns,Drama,1996,tt0116714,76656.63480289023,4.5,nm0000274,nm0001305,nm15319036,nm0001525,1971,1976,1938,1959,179.0,72.0,1.0,73.0,M,M,M,M
10 Rillington Place,Drama,1971,tt0066730,0.0,4.8,nm0000277,nm0002096,nm0000457,nm0382411,1923,1948,1940,1931,81.0,70.0,241.0,32.0,M,F,M,F
The Thirteenth Floor,Drama,1999,tt0139809,3644078.4278313066,4.7,nm0081572,nm0001543,nm0000090,nm0000352,1964,1972,1930,1959,84.0,53.0,102.0,216.0,M,F,M,M
Footy Legends,Drama,2006,tt0477647,0.0,4.4,nm1282885,nm0760151,nm2693716,nm2697234,\N,1979,\N,\N,2.0,105.0,1.0,2.0,M,M,F,M
Executive Suite,Drama,1954,tt0046963,11609286.614221303,5.0,nm0000034,nm0001766,nm0000742,nm0545298,1918,1907,1917,1897,68.0,89.0,43.0,75.0,M,F,F,M
Holes,Drama,2003,tt0311289,11609286.614221303,4.9,nm0479471,nm0000244,nm0000685,nm0625789,1986,1949,1938,1964,100.0,110.0,74.0,56.0,M,F,M,M
Wonderwall,Drama,1968,tt0065224,0.0,4.4,nm0532290,nm0000945,nm0359566,nm0915077,1918,1946,1901,1912,26.0,70.0,36.0,85.0,M,F,F,M
Burnt by the Sun,Drama,1994,tt0111579,-4471993.703266431,5.2,nm0586482,nm0200848,nm0579823,nm0586486,1945,1963,1960,1986,44.0,102.0,66.0,11.0,M,F,M,F
In Harm's Way,Drama,1965,tt0059309,0.0,4.7,nm0000078,nm0000018,nm0623658,nm0874502,1907,1916,1926,1926,133.0,86.0,49.0,35.0,M,M,F,M
Night Train,Drama,2007,tt1032941,0.0,4.5,nm3737514,nm3707033,nm2727871,nm3737392,\N,\N,\N,\N,1.0,1.0,7.0,1.0,M,M,F,F
Mother and Son,Drama,1997,tt0119711,0.0,4.7,nm0025651,nm0315407,,,1962,\N,,,3.0,2.0,,,M,F,,
Take Off,Drama,2009,tt1298648,11609286.614221303,4.8,nm1978402,nm1753862,nm2588698,nm1118612,1978,\N,\N,1983,27.0,22.0,1.0,18.0,M,M,M,M
The Last Unicorn,Drama,1982,tt0084237,11609286.614221303,4.9,nm0000313,nm0001201,nm0001450,nm0000273,1949,1945,1925,1934,91.0,317.0,347.0,85.0,M,F,F,M
Oscar and Lucinda,Drama,1997,tt0119843,2798364.549338594,4.6,nm0000146,nm0000949,nm0001354,nm0929489,1962,1969,1953,1948,64.0,104.0,78.0,82.0,M,F,M,M
Edmond,Drama,2005,tt0443496,-12122184.766375082,4.3,nm0000513,nm0005466,nm0001505,nm0062844,1950,1981,1947,1919,214.0,112.0,413.0,26.0,M,F,M,F
Twilight,Drama,1998,tt0119594,11609286.614221303,4.7,nm0000056,nm0000215,nm0000432,nm0000702,1925,1946,1930,1976,68.0,480.0,77.0,106.0,M,F,M,F
Heartbeat Detector,Drama,2007,tt0765141,0.0,4.5,nm0023832,nm0003909,nm0778568,nm0144589,1965,1931,1937,1943,106.0,137.0,74.0,91.0,M,M,F,M
Duke of Chicago,Drama,1949,tt0041322,0.0,5.0,nm0114805,nm0518879,nm0936728,nm0367670,1913,1922,1905,1882,81.0,19.0,61.0,16.0,M,F,M,M
Hells Angels on Wheels,Drama,1967,tt0061758,0.0,4.2,nm0730126,nm0000197,nm0770124,nm0852529,1937,1937,1943,1943,14.0,56.0,5.0,29.0,M,M,F,F
The Girl Who Had Everything,Drama,1953,tt0045816,8844439.601494396,4.5,nm0001635,nm0000072,nm0482881,nm0949574,1892,1932,1915,1913,69.0,54.0,39.0,69.0,M,F,M,M
It's a Free World...,Drama,2007,tt0807054,7587064.795000542,4.8,nm1663573,nm0254927,nm2022053,nm2739469,1976,\N,1979,1995,40.0,5.0,22.0,2.0,F,F,M,M
The First Born,Drama,1928,tt0018891,0.0,4.7,nm0541766,nm0140914,nm0517058,nm0040455,1888,1906,1898,1906,20.0,38.0,66.0,2.0,M,F,M,F
Élisa,Drama,1995,tt0112945,0.0,4.6,nm0660854,nm0000367,nm0183660,nm0758519,1972,1948,1969,\N,29.0,211.0,59.0,3.0,F,M,F,M
Ronin,Drama,1998,tt0122690,11609286.614221303,4.9,nm0000134,nm0000606,nm0001523,nm0001745,1943,1948,1969,1951,116.0,95.0,159.0,99.0,M,M,F,M
Emma,Drama,1996,tt0116191,11609286.614221303,5.3,nm0000569,nm0181920,nm0000627,nm0001086,1972,1948,1960,1965,39.0,124.0,75.0,194.0,F,M,F,M
The Ruling Class,Drama,1972,tt0069198,0.0,4.7,nm0000564,nm0799237,nm0522884,nm0654377,1932,1900,1915,1900,75.0,54.0,156.0,1.0,M,M,M,M
Newsfront,Drama,1978,tt0077986,0.0,4.6,nm0402730,nm0448047,nm0400998,nm0371824,1940,1932,1952,1948,42.0,116.0,52.0,128.0,M,M,F,M
Cold Steel,Drama,1987,tt0092767,0.0,4.1,nm0001113,nm0000232,nm0052186,nm0010264,1949,1958,1947,1955,30.0,117.0,255.0,83.0,M,F,M,M
The Expendables,Drama,2010,tt1320253,11609286.614221303,4.7,nm0000230,nm0005458,nm0001472,nm0000185,1946,1967,1963,1957,85.0,53.0,43.0,89.0,M,M,M,M
Bugsy,Drama,1991,tt0101516,11609286.614221303,6.7,nm0000886,nm0000906,nm0000172,nm0001426,1937,1958,1939,1943,30.0,45.0,120.0,149.0,M,F,M,M
The Adventures of the Wilderness Family,Drama,1975,tt0072610,11609286.614221303,4.7,nm0517515,nm0006978,nm0391852,nm0488772,1941,\N,\N,\N,17.0,11.0,1.0,3.0,M,F,F,M
Essex Boys,Drama,2000,tt0191996,0.0,4.4,nm0187224,nm0000293,nm0590340,nm0005094,1972,1959,1953,1963,33.0,195.0,1.0,147.0,M,M,M,F
San Saba,Drama,2008,tt0928193,0.0,4.4,nm0005171,nm0737533,nm1007554,nm0000407,1963,1973,1975,1964,62.0,50.0,30.0,278.0,M,F,F,F
The Black Balloon,Drama,2008,tt0865297,-3148386.225217233,4.6,nm1973422,nm1047329,nm0001057,nm0860997,\N,1981,1972,1967,58.0,27.0,148.0,158.0,M,M,F,M
Sleuth,Drama,1972,tt0069281,0.0,4.9,nm0000059,nm0000323,nm0147250,nm0560064,1907,1933,\N,\N,71.0,118.0,1.0,1.0,M,M,M,M
Room in Rome,Drama,2010,tt1263750,0.0,4.5,nm0025745,nm1388067,nm0516272,nm0632385,1975,1979,1964,1972,60.0,17.0,39.0,58.0,F,F,M,F
Mr. 3000,Drama,2004,tt0339412,-10228084.0375814,4.2,nm0005170,nm0000291,nm0728346,nm0924552,1957,1958,1960,1975,118.0,156.0,24.0,56.0,M,F,M,M
Requiem for a Dream,Drama,2000,tt0180093,3973246.743162988,5.0,nm0000995,nm0001467,nm0000124,nm0005541,1932,1971,1970,1972,160.0,31.0,66.0,145.0,F,M,F,M
Ticked-Off Trannies With Knives,Drama,2010,tt1587431,0.0,4.3,nm2624292,nm1316418,nm3776708,nm3773329,1969,1982,\N,\N,4.0,48.0,1.0,2.0,F,M,F,F
Stamboul Quest,Drama,1934,tt0025828,0.0,4.5,nm0001485,nm0107575,nm0041172,nm0330059,1905,1904,1885,1884,80.0,87.0,46.0,10.0,F,M,M,M
Footpath,Drama,2003,tt0374660,0.0,4.3,nm0012778,nm0060607,nm0222144,nm1431656,1978,1979,1968,1979,47.0,60.0,117.0,60.0,M,F,M,M
The Sunchaser,Drama,1996,tt0117781,32462.361955158856,4.5,nm0000437,nm0781218,nm0000843,nm0878714,1961,1970,1931,\N,103.0,206.0,64.0,15.0,M,M,F,F
"Silent Night, Deadly Night Part 2",Drama,1987,tt0093974,-199341.74889475617,4.0,nm0153004,nm0628119,nm0435250,nm0588561,1965,\N,1960,1904,5.0,1.0,18.0,1.0,M,M,F,F
Family Business,Drama,1989,tt0097328,11609286.614221303,4.6,nm0000125,nm0000163,nm0000111,nm0221554,1930,1937,1962,1950,71.0,72.0,64.0,29.0,M,M,M,F
Phenomenon,Drama,1996,tt0117333,-48298102.22080544,3.7,nm0000237,nm0001718,nm0001845,nm0000380,1954,1965,1961,1931,76.0,173.0,113.0,111.0,M,F,M,M
Baby Doll,Drama,1956,tt0048973,11609286.614221303,4.9,nm0001500,nm0004647,nm0908919,nm0242972,1912,1931,1915,1901,173.0,53.0,76.0,45.0,M,F,M,F
Samay: When Time Strikes,Drama,2003,tt0384491,0.0,4.7,nm0784047,nm1980374,nm1189040,nm1795232,1975,\N,1967,1975,40.0,1.0,921.0,31.0,F,F,M,M
Better Than Sex,Drama,2000,tt0236019,0.0,4.5,nm0920992,nm0692305,nm0574296,nm0098123,1965,\N,1952,\N,60.0,58.0,64.0,13.0,M,F,F,M
Fever Pitch,Drama,2005,tt0332047,11609286.614221303,4.7,nm0000106,nm0266422,nm1555151,nm0444940,1975,1974,1997,1946,86.0,118.0,45.0,20.0,F,M,M,M
Faces in the Crowd,Drama,2011,tt1536410,-15786679.361456988,4.1,nm0000170,nm0573037,nm2331786,nm0788218,1975,1968,\N,\N,39.0,216.0,18.0,168.0,F,M,M,M
Spider-Man 2,Drama,2004,tt0316654,11609286.614221303,5.6,nm0001497,nm0000379,nm0000547,nm0290556,1975,1982,1953,1978,36.0,74.0,205.0,150.0,M,F,M,M
Star Trek: Insurrection,Drama,1998,tt0120844,11609286.614221303,4.7,nm0001772,nm0000408,nm0000653,nm0000996,1940,1952,1949,1957,343.0,214.0,35.0,382.0,M,M,M,M
Much Ado About Nothing,Drama,1993,tt0107616,11609286.614221303,4.9,nm0000110,nm0000668,nm0000206,nm0000295,1960,1959,1964,1973,148.0,57.0,83.0,66.0,M,F,M,F
Freedomland,Drama,2006,tt0349467,-27020712.784195777,3.8,nm0000194,nm0000168,nm0004908,nm0253035,1960,1948,1963,1965,82.0,140.0,233.0,59.0,F,M,F,M
Ab-normal Beauty,Drama,2004,tt0434762,0.0,4.4,nm1779768,nm1779769,nm1756073,nm0575997,1982,1979,\N,1956,5.0,1.0,3.0,18.0,F,F,M,F
The Bugle Call,Drama,1927,tt0017714,0.0,4.5,nm0001067,nm0934780,nm0712660,nm0639855,1914,1892,1885,1890,168.0,30.0,56.0,13.0,M,F,M,M
The Trigger Effect,Drama,1996,tt0117965,-6606306.490019127,4.3,nm0001492,nm0000223,nm0000551,nm0429114,1959,1963,1963,1972,137.0,140.0,132.0,234.0,M,F,M,M
Unpublished Story,Drama,1942,tt0035494,0.0,4.6,nm0338901,nm0387753,nm0705509,nm0191745,1918,1917,1897,1900,145.0,33.0,16.0,44.0,M,F,M,M
Tokyo Gore Police,Drama,2008,tt1183732,0.0,4.4,nm0793402,nm1441714,nm3136753,nm3136514,1976,1963,\N,\N,7.0,68.0,3.0,7.0,F,M,M,M
Eternal Summer,Drama,2006,tt0885520,0.0,4.7,nm1534398,nm2431533,nm1329115,,1983,1985,1984,,57.0,51.0,7.0,,M,M,F,
Hoosiers,Drama,1986,tt0091217,11609286.614221303,5.0,nm0000432,nm0001347,nm0000454,nm0941125,1930,1948,1936,1921,77.0,103.0,170.0,110.0,M,F,M,M
Crush,Drama,2009,tt1170350,0.0,4.1,nm0250659,nm0363397,nm1344335,nm2520212,1984,1985,\N,1979,37.0,54.0,64.0,8.0,M,F,F,M
An Angel at My Table,Drama,1990,tt0099040,1910868.989152369,4.8,nm0289098,nm0449038,nm0272649,nm0161515,1966,\N,\N,\N,50.0,1.0,1.0,1.0,F,F,F,F
The Insect Woman,Drama,1963,tt0057363,0.0,4.7,nm0442951,nm0457557,nm0457498,nm0457211,1908,1927,1911,1905,94.0,17.0,20.0,5.0,M,M,F,F
Eagle in a Cage,Drama,1972,tt0067038,0.0,4.4,nm0925794,nm0724732,nm0000024,nm0354078,1932,1902,1904,1931,86.0,88.0,103.0,66.0,F,M,M,M
Seeking a Friend for the End of the World,Drama,2012,tt1307068,1787967.3702337495,4.6,nm0136797,nm0461136,nm0001491,nm0652663,1962,1985,1977,1969,248.0,48.0,108.0,337.0,M,F,F,M
